key,중위건축,n,노후91,노후25,반지하%,온열률10만
강원특별자치도 강릉시,2012.0,274,34.67153284671533,48.175182481751825,0.32630547445624175,53.8
강원특별자치도 삼척시,1986.0,33,51.515151515151516,72.72727272727273,0.02642444260941371,39.8
강원특별자치도 속초시,1990.0,173,51.445086705202314,61.27167630057804,0.11018994647916885,39.1
강원특별자치도 원주시,2013.0,122,19.672131147540984,26.229508196721312,0.04744958481613286,16.1
강원특별자치도 춘천시,2012.0,215,31.627906976744185,46.97674418604651,0.3707537113991318,
강원특별자치도 평창군,2011.0,52,17.307692307692307,28.846153846153843,0.025795800443687764,41.7
강원특별자치도 홍천군,2012.0,98,26.53061224489796,35.714285714285715,0.025754941729444338,35.5
경기도 가평군,2017.0,546,4.5787545787545785,23.626373626373624,0.16821158870477076,93.1
경기도 고양시,2011.0,3608,16.823725055432373,39.052106430155206,1.8420043015753067,12.3
경기도 과천시,2019.0,750,6.533333333333332,6.933333333333333,5.150435199780687,
경기도 광명시,1996.0,1300,11.461538461538462,57.692307692307686,3.612447328187344,23.6
경기도 광주시,2014.0,4378,0.27409776153494747,11.055276381909549,1.5187703631814773,39.4
경기도 구리시,2003.0,1038,21.19460500963391,39.21001926782274,4.342205221841638,15.8
경기도 군포시,2001.0,1435,28.50174216027875,46.4808362369338,2.8872337397409744,
경기도 김포시,2017.0,1083,6.740535549399815,19.298245614035086,0.19791169043881798,10.5
경기도 남양주시,2007.0,3434,17.035527082119977,44.40885264997088,0.38801158328697166,20.7
경기도 동두천시,2012.0,505,18.81188118811881,35.84158415841584,0.3946859280278602,96.4
경기도 부천시,2001.0,6011,20.595574779570786,39.72716686075528,2.8563451934112973,15.8
경기도 성남시,1996.0,5042,7.556525188417294,64.10154700515669,7.347965034307736,15.7
경기도 수원시,2015.0,9425,8.60477453580902,18.249336870026525,3.1659732108446526,13.5
경기도 시흥시,2007.0,2542,5.822187254130606,27.89142407553108,1.0191569809455876,19.9
경기도 안산시,2011.0,5584,9.312320916905444,20.057306590257877,3.970158500311626,21.3
경기도 안성시,2013.0,453,9.271523178807946,16.777041942604857,0.36431140503538695,51.4
경기도 안양시,2002.0,3828,36.38975966562173,48.53709508881923,4.192658758104308,
경기도 양주시,2016.0,626,8.30670926517572,27.15654952076677,0.17457860337117304,
경기도 양평군,2016.0,677,7.533234859675036,16.100443131462335,0.035174111853675694,27.5
경기도 여주시,2016.0,433,7.390300230946882,13.625866050808314,0.06650812205248095,60.0
경기도 연천군,1996.0,94,29.78723404255319,51.06382978723404,0.10818998160770313,106.7
경기도 오산시,2016.0,1514,8.256274768824307,12.285336856010568,0.670856713860843,19.6
경기도 용인시,2014.0,5451,2.8251696936341957,20.546688680975965,0.9024664354509311,14.2
경기도 의왕시,2013.0,847,12.514757969303425,21.01534828807556,1.2368834592183302,
경기도 의정부시,2001.0,2050,10.682926829268293,46.78048780487805,1.6788681926296605,
경기도 이천시,2015.0,1104,12.318840579710146,23.007246376811594,0.32598605384167006,60.4
경기도 파주시,2016.0,1365,7.9120879120879115,15.384615384615385,0.41848906560636184,44.7
경기도 평택시,2013.0,3236,6.334981458590853,20.024721878862795,0.5942503303524784,44.5
경기도 포천시,2013.0,700,8.428571428571429,35.57142857142857,0.15236323394973617,90.5
경기도 하남시,2013.0,576,6.25,18.75,1.502724971686138,11.2
경기도 화성시,2017.0,3124,4.097311139564661,14.7247119078105,0.2367351139931038,25.6
경상남도 거제시,2012.0,228,10.087719298245613,24.561403508771928,0.00808881519079493,106.8
경상남도 김해시,2001.0,492,3.6585365853658534,48.78048780487805,0.01179063460823349,38.3
경상남도 양산시,2013.0,121,3.3057851239669422,11.570247933884298,0.004590133835187966,21.1
경상남도 진주시,2003.0,134,9.701492537313433,26.865671641791046,0.01697560083833352,41.2
경상남도 창원시,2002.0,535,20.5607476635514,47.10280373831775,0.09864817187529014,27.6
경상남도 통영시,2008.0,64,12.5,26.5625,0.01297882597248489,33.6
경상북도 경산시,2013.0,155,1.935483870967742,21.935483870967744,0.0942594452599861,11.3
경상북도 경주시,2001.0,196,39.285714285714285,49.48979591836735,0.019053557818887273,39.4
경상북도 구미시,2005.0,301,6.312292358803987,21.92691029900332,0.006100672183153271,52.1
경상북도 김천시,2013.0,103,13.592233009708737,19.41747572815534,0.009736624312350908,55.1
경상북도 안동시,2013.0,40,20.0,30.0,0.008240626287597858,
경상북도 울진군,2011.5,42,11.904761904761903,42.857142857142854,0.054565296471444154,129.7
대구광역시 남구,2001.0,142,14.084507042253522,46.478873239436616,0.20195075838955012,
대구광역시 달서구,2003.0,282,10.28368794326241,31.20567375886525,0.06874048292364586,
