도엽,zip,w,s,e,n
34702100,토지피복지도/SG05_34702100_20251113.zip,127.47500002547274,34.74999993309966,127.50000000507393,34.77499990539065
34703002,토지피복지도/SG05_34703002_20251113.zip,127.52499996199357,34.97499992155837,127.55000004243998,35.00000056938446
34703003,토지피복지도/SG05_34703003_20251113.zip,127.55000000426752,34.974999880897926,127.57499998222389,35.000000515256666
34703004,토지피복지도/SG05_34703004_20251113.zip,127.5749999643111,34.974999880897926,127.60000002970348,35.000000524658276
34703005,토지피복지도/SG05_34703005_20251113.zip,127.5999999775377,34.97499989117017,127.62500005130319,35.00000054939192
34703006,토지피복지도/SG05_34703006_20251113.zip,127.62500002871074,34.974999882479935,127.65000000517956,35.00000054707716
34703007,토지피복지도/SG05_34703007_20251113.zip,127.64999996928086,34.974999882479935,127.67500003946205,35.00000053695387
34703008,토지피복지도/SG05_34703008_20251113.zip,127.67499996425171,34.97499992409606,127.7000000293271,35.000000554245226
34703009,토지피복지도/SG05_34703009_20251113.zip,127.70000000715375,34.97499988487276,127.72500002780987,35.00000056854846
34703010,토지피복지도/SG05_34703010_20251113.zip,127.72499997179682,34.97499988487276,127.74999998972461,35.00000056209048
34703012,토지피복지도/SG05_34703012_20251113.zip,127.52499996427593,34.949999874047826,127.55000004243998,34.97500057407202
34703013,토지피복지도/SG05_34703013_20251113.zip,127.54999996366193,34.949999874047826,127.57499997497901,34.97500055913421
34703014,토지피복지도/SG05_34703014_20251113.zip,127.57499995458845,34.949999889597706,127.60000003999706,34.97500052946517
34703015,토지피복지도/SG05_34703015_20251113.zip,127.5999999776647,34.949999889597706,127.62500005130319,34.97500053461805
34703016,토지피복지도/SG05_34703016_20251113.zip,127.62499996543343,34.94999987446381,127.649999974211,34.97500053054698
34703017,토지피복지도/SG05_34703017_20251113.zip,127.64999994906512,34.94999987446381,127.67500001743475,34.9750005617747
34703018,토지피복지도/SG05_34703018_20251113.zip,127.67499996259377,34.949999897764314,127.70000003370927,34.97500058145732
34703019,토지피복지도/SG05_34703019_20251113.zip,127.70000000785676,34.94999991476794,127.72500002732778,34.97500054805069
34703020,토지피복지도/SG05_34703020_20251113.zip,127.72499999478093,34.94999992097073,127.75000003280189,34.97500054895677
34703023,토지피복지도/SG05_34703023_20251113.zip,127.54999995978393,34.9249998758796,127.57499996642994,34.95000054611568
34703024,토지피복지도/SG05_34703024_20251113.zip,127.57499994724851,34.924999876716065,127.60000003999706,34.95000055278086
34703025,토지피복지도/SG05_34703025_20251113.zip,127.59999999669856,34.92499986797797,127.62499999735344,34.95000054374064
34703026,토지피복지도/SG05_34703026_20251113.zip,127.62499996074094,34.92499986797797,127.6499999613512,34.950000544731424
34703027,토지피복지도/SG05_34703027_20251113.zip,127.64999994084741,34.92499992060951,127.67500001743475,34.950000528509435
34703028,토지피복지도/SG05_34703028_20251113.zip,127.67499997708352,34.92499989272333,127.70000003370927,34.95000054779434
34703029,토지피복지도/SG05_34703029_20251113.zip,127.6999999607304,34.92499989272333,127.72500000445005,34.95000055698129
34703030,토지피복지도/SG05_34703030_20251113.zip,127.72499998516844,34.92499990528097,127.750000031981,34.95000056326573
34703034,토지피복지도/SG05_34703034_20251113.zip,127.57499993968064,34.89999990557935,127.59999999775555,34.92500052090597
34703035,토지피복지도/SG05_34703035_20251113.zip,127.59999996000349,34.89999988344479,127.62500003997634,34.92500051539563
34703036,토지피복지도/SG05_34703036_20251113.zip,127.62499999339549,34.89999988344479,127.64999996971372,34.925000549038025
34703037,토지피복지도/SG05_34703037_20251113.zip,127.64999994580263,34.899999911685114,127.67499998195804,34.92500057497223
34703038,토지피복지도/SG05_34703038_20251113.zip,127.67499995481376,34.89999993286233,127.7000000230567,34.9250005507713
34703039,토지피복지도/SG05_34703039_20251113.zip,127.69999996032305,34.8999998712667,127.7250000353438,34.925000493469085
34703040,토지피복지도/SG05_34703040_20251113.zip,127.72500000071808,34.8999998712667,127.75000000028345,34.92500056802544
34703042,토지피복지도/SG05_34703042_20251113.zip,127.52499997072796,34.87499993116865,127.55000003069722,34.900000573780424
34703043,토지피복지도/SG05_34703043_20251113.zip,127.55000000646696,34.874999919586145,127.57500005356592,34.90000057265428
34703044,토지피복지도/SG05_34703044_20251113.zip,127.57499995120169,34.874999905129634,127.60000003820586,34.9000005666207
34703045,토지피복지도/SG05_34703045_20251113.zip,127.59999996112886,34.874999887760836,127.62500003997634,34.90000048480828
34703046,토지피복지도/SG05_34703046_20251113.zip,127.62499998293306,34.874999866855006,127.64999999545336,34.9000005364853
34703047,토지피복지도/SG05_34703047_20251113.zip,127.64999996415366,34.874999866855006,127.67499996546813,34.90000052102187
34703048,토지피복지도/SG05_34703048_20251113.zip,127.6749999545159,34.8749999053873,127.7000000230567,34.899999949552154
34703049,토지피복지도/SG05_34703049_20251113.zip,127.69999999167351,34.87499987506966,127.7250000353438,34.900000344780466
34703050,토지피복지도/SG05_34703050_20251113.zip,127.7249999844955,34.87499987545317,127.75000003557727,34.90000051816137
34703052,토지피복지도/SG05_34703052_20251113.zip,127.52499996700246,34.84999986923086,127.5500000466606,34.87500055901026
34703053,토지피복지도/SG05_34703053_20251113.zip,127.55000002366168,34.84999989634936,127.57500005413169,34.87500056813133
34703054,토지피복지도/SG05_34703054_20251113.zip,127.57500003570924,34.849999922291815,127.60000003820586,34.87500055468819
34703055,토지피복지도/SG05_34703055_20251113.zip,127.60000000774501,34.84999987983448,127.6250000450244,34.87500053786111
34703056,토지피복지도/SG05_34703056_20251113.zip,127.62499998293306,34.84999987983448,127.65000003751426,34.875000424645116
34703057,토지피복지도/SG05_34703057_20251113.zip,127.64999999545336,34.849999901447006,127.67499998669953,34.87499993304426
34703058,토지피복지도/SG05_34703058_20251113.zip,127.67499995975415,34.849999921692344,127.70000000106315,34.87499995471916
34703059,토지피복지도/SG05_34703059_20251113.zip,127.69999998410839,34.849999866470036,127.72499998753311,34.875000533097456
34703060,토지피복지도/SG05_34703060_20251113.zip,127.72499995787123,34.849999866470036,127.75000003557727,34.87500054428493
34703062,토지피복지도/SG05_34703062_20251113.zip,127.52500000057536,34.824999876789484,127.55000005286878,34.850000525161924
34703063,토지피복지도/SG05_34703063_20251113.zip,127.55000003448923,34.824999913212096,127.57500004710484,34.850000551807874
34703064,토지피복지도/SG05_34703064_20251113.zip,127.57500002965335,34.82499988708144,127.60000001203417,34.85000057683075
34703065,토지피복지도/SG05_34703065_20251113.zip,127.59999998376942,34.82499988708144,127.6250000450244,34.850000553286485
34703066,토지피복지도/SG05_34703066_20251113.zip,127.62500000538246,34.82499992504885,127.65000003751426,34.85000050975697
34703067,토지피복지도/SG05_34703067_20251113.zip,127.64999998366319,34.82499989883994,127.67500002795545,34.85000030125048
34703068,토지피복지도/SG05_34703068_20251113.zip,127.67499998456901,34.82499987285028,127.70000002458774,34.85000056911672
34703069,토지피복지도/SG05_34703069_20251113.zip,127.69999999390605,34.82499987285028,127.72499997596282,34.850000546084715
34703070,토지피복지도/SG05_34703070_20251113.zip,127.72499995191126,34.82499991080698,127.74999999482246,34.850000515739886
34703071,토지피복지도/SG05_34703071_20251113.zip,127.49999996870791,34.79999986580434,127.5250000433258,34.82500052685642
34703072,토지피복지도/SG05_34703072_20251113.zip,127.52500002175233,34.799999872455174,127.55000005275895,34.82500052192467
34703073,토지피복지도/SG05_34703073_20251113.zip,127.5499999475023,34.79999988156256,127.57500004023021,34.82500056171129
34703074,토지피복지도/SG05_34703074_20251113.zip,127.57500002235226,34.799999892380356,127.59999998928822,34.82500054244861
34703075,토지피복지도/SG05_34703075_20251113.zip,127.59999996590697,34.79999990558293,127.62500000824942,34.825000561699824
34703076,토지피복지도/SG05_34703076_20251113.zip,127.6249999755196,34.7999999203338,127.64999998480464,34.82500057718127
34703077,토지피복지도/SG05_34703077_20251113.zip,127.6499999443347,34.79999986512645,127.67500002724195,34.825000554499965
34703078,토지피복지도/SG05_34703078_20251113.zip,127.6749999770439,34.79999986512645,127.70000002458774,34.825000528146795
34703079,토지피복지도/SG05_34703079_20251113.zip,127.6999999642217,34.79999988517407,127.72500001390571,34.825000512294565
34703080,토지피복지도/SG05_34703080_20251113.zip,127.72499997224526,34.79999990642074,127.75000001426521,34.8250005659589
34703082,토지피복지도/SG05_34703082_20251113.zip,127.52500004275412,34.774999901682015,127.54999994831157,34.7999999511904
34703083,토지피복지도/SG05_34703083_20251113.zip,127.5499999430486,34.774999901682015,127.57500003399927,34.80000052908486
34703084,토지피복지도/SG05_34703084_20251113.zip,127.57500001600079,34.77499991243428,127.59999997344866,34.800000540783216
34703085,토지피복지도/SG05_34703085_20251113.zip,127.59999994776771,34.77499987812845,127.62499998064251,34.800000543043595
34703086,토지피복지도/SG05_34703086_20251113.zip,127.62499995587272,34.77499987812845,127.65000003287047,34.800000570574326
34703087,토지피복지도/SG05_34703087_20251113.zip,127.64999994631498,34.77499991011392,127.67499997784553,34.80000054396114
34703088,토지피복지도/SG05_34703088_20251113.zip,127.67499994341864,34.77499988551159,127.70000003788633,34.80000051512081
34703089,토지피복지도/SG05_34703089_20251113.zip,127.69999996422132,34.77499986504347,127.725000013645,34.80000053813908
34703090,토지피복지도/SG05_34703090_20251113.zip,127.72499996861222,34.77499986504347,127.75000001426521,34.8000005590773
34703091,토지피복지도/SG05_34703091_20251113.zip,127.49999999189804,34.74999991841144,127.52500004890061,34.775000566757726
34703093,토지피복지도/SG05_34703093_20251113.zip,127.54999994771347,34.74999990573198,127.57500002904798,34.775000563269586
34703094,토지피복지도/SG05_34703094_20251113.zip,127.57500001145615,34.74999990573198,127.59999996147063,34.77500057257061
34703095,토지피복지도/SG05_34703095_20251113.zip,127.59999994341895,34.74999990766898,127.62499996291143,34.77500053729151
34703096,토지피복지도/SG05_34703096_20251113.zip,127.62499994448069,34.749999914512806,127.65000003251536,34.77500054964633
