net,scene,date,지점,LST_30m,LST_100m,LST_500m,LST_1000m,NDVI_30m,NDVI_100m,NDVI_500m,NDVI_1000m
ASOS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,130,,,,36.774542134219054,,,,0.5549831538898415
ASOS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,272,36.934446560000005,37.24929503085716,37.75639227670106,37.32654130432295,0.5682428773800808,0.5681621787471024,0.5979592134210405,0.6136595028901759
ASOS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,216,43.74428174,43.558081031428586,41.82592290907218,38.3784283971486,0.41704294093691985,0.3787229989457819,0.46357905020844264,0.5990388021259385
ASOS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,271,37.30587140000002,37.071362675428595,35.848671201030946,34.886660295484496,0.5680397382301047,0.4758419875156336,0.6421990177055261,0.690633734234485
ASOS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,106,38.25152360000002,38.740723643428595,40.527024410721666,40.128425933596546,0.6427664192823287,0.6008766950956946,0.55462547569127,0.5440820438578226
ASOS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,217,40.37183534000002,39.69864816285717,36.08597463657145,33.72400356373283,0.42405704328704896,0.43617501355048693,0.607613332705618,0.7029694713001853
AWS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,837,37.10876558000003,36.9201885337143,36.33765556969074,37.46476317580306,0.5614253903465641,0.597216038892071,0.7034394282701557,0.6355122518712354
AWS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,814,37.37423180000002,37.332499403428585,36.68683783051548,35.25110303206188,0.5764909059603569,0.69459158103974,0.6695887066180816,0.7214221145464778
AWS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,530,33.892408760000045,33.40617100057144,32.92184841742859,32.116466617530335,0.5860334372857853,0.6700578160733225,0.7700372737740414,0.8031102681334574
AWS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,802,32.99119082000002,32.53670809400002,31.924073037585437,32.46850888173274,0.599750145160752,0.8006516659206835,0.8478417628937285,0.8364882353424656
AWS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,876,39.50137958000001,39.38379969200002,39.5445374659794,39.07798654898587,0.5290430382532219,0.5258772984116442,0.5578790481944166,0.5700966171540222
AWS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,817,33.567696860000034,33.972390428000026,34.15117597402063,32.91588739359292,0.7732263788724615,0.7912659556273955,0.8043996941290188,0.8506948841687025
AWS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,831,31.613728760000015,31.585245260000022,31.518118166185584,31.237090615900392,0.7664901689302362,0.7844296589092672,0.8206836674844956,0.8600916611934188
AWS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,851,37.097372180000015,36.625652867428585,33.82042674659795,33.49952306709738,0.5199646832113127,0.6187442035966713,0.7955480984272604,0.8154112243623046
AWS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,580,34.848315019999994,34.78285179885715,35.67920710061858,36.16079001360437,0.6484970740196693,0.7827248446962044,0.6791182649622346,0.6488055819166697
AWS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,581,37.808320340000044,37.55301052228573,33.7802366259794,31.670892445376488,0.5262571382713278,0.5097120795849914,0.7184297773921857,0.778371840294766
AWS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,529,36.27818672000003,37.00710389942859,37.85702614618558,36.59573868517608,0.793665546491315,0.72808319530677,0.6677269615884255,0.7089534167978182
AWS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,310,,,34.190270321586425,33.93443280329374,,,0.7394825531246791,0.7694327632865843
AWS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,527,37.33777292000002,37.30212785428572,35.377481678762905,33.51743998363638,0.6336776509149584,0.5825044216058697,0.6628132383023991,0.7282681643024138
AWS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,843,38.673079400000006,37.96278229142859,34.41080569125153,33.15423871063417,0.43358259836241403,0.6632353245982885,0.7553075951774899,0.8111644531532397
AWS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,563,,,,31.312236954454562,,,,0.8104482608278046
AWS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,497,34.131670160000034,33.624826622857164,31.45605509189439,30.79917775819551,0.6367769318384631,0.6728369835608984,0.829358422567543,0.8577971276521373
AWS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,674,36.098171000000015,35.59389911600001,33.53643915156509,32.65109858253635,0.4575507398197964,0.4521540335072603,0.7272969033235683,0.7659472762324044
AWS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,878,32.663060900000026,32.39297221485715,30.838010491340224,30.470552905891804,0.5799372472671747,0.6955712861490454,0.8294618546160281,0.8715004631418775
AWS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,579,35.62306622000002,35.36469646057145,33.576936868247444,32.61342543421877,0.4963323970169197,0.5479441425089717,0.7332651490551356,0.7780846091162933
AWS,LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,696,39.17780702000001,38.84052982742859,36.153282167835066,35.08896235062126,0.668985510045914,0.7130023601647449,0.743455369752697,0.7658657715671975
ASOS,LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,272,33.86278592000002,34.13645538800003,34.78929642494847,34.21856497649587,0.5236399916651834,0.5726362986886773,0.5204507130097502,0.5307777687686772
ASOS,LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,216,40.64299826000001,40.4798122194286,38.175504955876306,34.577361180143164,0.3623152556724724,0.3467354975964733,0.4438663907249039,0.5755698849694926
ASOS,LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,106,32.91599438000003,32.72373889314289,34.04686162314723,34.070428966510484,0.4790953844818992,0.5274791687265372,0.5101648882890162,0.5108020629387485
ASOS,LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,217,38.97842252000002,38.48066115028573,33.384810802736865,30.857578410192854,0.3521651644775292,0.3516671035450301,0.6209798121275291,0.6976007852038333
ASOS,LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,271,37.49158382000004,37.85330799371432,34.50477856082477,32.518952819061,0.44757885041292395,0.39951008759104195,0.554636555200144,0.6403195116882752
AWS,LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,837,33.48110702,33.53390729085716,33.413529671546414,34.689685165187534,0.592127825444372,0.5929935472963027,0.6483933866580185,0.5758826169180207
AWS,LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,814,36.70429988000003,36.471060705714315,34.58795429608249,32.26350548467222,0.4397555370580793,0.5320666400486492,0.5695901571564776,0.6536943286302309
AWS,LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,581,38.0407457,37.3358197657143,33.156340306391776,30.302169674417428,0.4673040598721326,0.519967989376485,0.6608354098290057,0.7345535723620203
AWS,LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,580,29.519621840000013,29.842641006285728,31.740634008866,31.99315996691671,0.7845329255382613,0.8124310252298912,0.614952272757598,0.5774875147743014
AWS,LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,310,,,28.500740548720948,28.587062288212994,,,0.7664463399087064,0.75713746541415
AWS,LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,817,29.45809748000003,29.678087757714312,29.306905887422698,28.051412800492436,0.7164321313896949,0.72037540909113,0.7341103405550572,0.8059473005041574
AWS,LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,529,31.55676176000001,32.16259766685716,32.84459329768491,31.674366000305362,0.48773279299438194,0.5228639741943691,0.4155328259785288,0.5196694539430508
AWS,LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,527,39.59594480000002,38.98232882857145,35.2926067216495,32.76066446872604,0.3822737328476393,0.3969689934284191,0.6058877893802638,0.697631845681101
AWS,LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,843,34.77653660000002,33.92531940971431,30.75800551066831,29.59574531371709,0.3453158993612096,0.5544281899057459,0.6859649285195152,0.758972656737192
AWS,LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,563,,,,29.203606088632643,,,,0.7430446004836924
AWS,LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,878,29.309983280000022,28.849462052000018,27.51950459711342,27.1955173033782,0.5595239296335232,0.683492094076548,0.8121148872307999,0.8492623798830172
AWS,LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,674,33.771638720000034,33.02179023714289,31.22126767805512,29.958377099485592,0.41972977157932584,0.44623127989859,0.6976604655696966,0.7395616209164075
AWS,LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,696,36.953815340000006,36.32506242285716,31.643022718350533,30.133103426063574,0.39695857036958454,0.4173216651731874,0.6491390268496299,0.7016501242701985
AWS,LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,497,29.697358880000024,29.485116114285738,27.24465810284732,26.629534369444784,0.6230257291269409,0.6584107001580778,0.794522097766119,0.8257558031626074
AWS,LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,851,31.46219654000002,30.634156780571455,28.160690209820917,27.210832149898383,0.4472032970228521,0.5317917694897256,0.7110267235786693,0.7587184760712714
AWS,LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,579,31.709433320000016,31.654679894857164,30.5858091645361,29.539982597447935,0.4110113287805919,0.5528674058951287,0.7088702352425008,0.7492424343968926
