key,전세중위,단가중위,건수,반지하%
강원특별자치도 강릉시,8000.0,175.0,383,0.32630547445624175
강원특별자치도 속초시,7175.0,166.66666666666666,228,0.11018994647916885
강원특별자치도 원주시,6000.0,145.87892049598833,833,0.04744958481613286
강원특별자치도 춘천시,7000.0,180.0,1173,0.3707537113991318
강원특별자치도 평창군,5000.0,97.08737864077669,69,0.025795800443687764
강원특별자치도 홍천군,7000.0,153.91380826737029,167,0.025754941729444338
경기도 가평군,10000.0,149.14914914914914,240,0.16821158870477076
경기도 고양시,15000.0,264.8387599314535,4379,1.8420043015753067
경기도 과천시,32000.0,484.57438216766275,1033,5.150435199780687
경기도 광명시,16500.0,332.5002498709328,1322,3.612447328187344
경기도 광주시,12600.0,230.76923076923077,4064,1.5187703631814773
경기도 구리시,15000.0,310.1187785130081,1300,4.342205221841638
경기도 군포시,12200.0,283.86242198181606,1288,2.8872337397409744
경기도 김포시,12000.0,205.2722558340536,1045,0.19791169043881798
경기도 남양주시,13800.0,242.30769230769232,3483,0.38801158328697166
경기도 동두천시,6000.0,111.58699600474435,244,0.3946859280278602
경기도 부천시,10870.0,231.35789286349885,4697,2.8563451934112973
경기도 성남시,14000.0,311.98894561762563,9106,7.347965034307736
경기도 수원시,12000.0,289.28880406571574,9320,3.1659732108446526
경기도 시흥시,8000.0,187.1192044863397,1666,1.0191569809455876
경기도 안산시,9000.0,178.05871494943386,3390,3.970158500311626
경기도 안성시,6400.0,154.13192713457764,388,0.36431140503538695
경기도 안양시,14000.0,332.00531208499336,3193,4.192658758104308
경기도 양주시,7150.0,145.45454545454547,466,0.17457860337117304
경기도 양평군,13000.0,185.95656054745612,871,0.035174111853675694
경기도 여주시,8100.0,173.01038062283737,376,0.06650812205248095
경기도 연천군,5000.0,83.66800535475234,57,0.10818998160770313
경기도 오산시,9000.0,231.70731707317074,1302,0.670856713860843
경기도 용인시,12000.0,275.0,5190,0.9024664354509311
경기도 의왕시,18000.0,351.3071895424836,810,1.2368834592183302
경기도 의정부시,9300.0,183.90264358771282,1830,1.6788681926296605
경기도 이천시,8500.0,220.26431718061673,1085,0.32598605384167006
경기도 파주시,14300.0,243.6933219421041,1804,0.41848906560636184
경기도 평택시,9000.0,181.4494609883659,2459,0.5942503303524784
경기도 포천시,6000.0,107.86516853932584,317,0.15236323394973617
경기도 하남시,22000.0,388.8498477395175,1447,1.502724971686138
경기도 화성시,12000.0,230.46786197636152,3710,0.2367351139931038
경상남도 거제시,7900.0,94.69696969696969,89,0.00808881519079493
경상남도 김해시,7000.0,127.96316245979429,394,0.01179063460823349
경상남도 양산시,7000.0,132.2003067375254,328,0.004590133835187966
경상남도 진주시,7000.0,133.62175525339927,562,0.01697560083833352
경상남도 창원시,8000.0,140.0,1166,0.09864817187529014
경상남도 통영시,6500.0,114.65081779430267,92,0.01297882597248489
경상북도 경산시,5000.0,142.26190476190476,436,0.0942594452599861
경상북도 경주시,5000.0,121.21212121212122,241,0.019053557818887273
경상북도 구미시,7000.0,133.33333333333334,656,0.006100672183153271
경상북도 김천시,4500.0,100.0,131,0.009736624312350908
경상북도 안동시,5000.0,110.09174311926606,120,0.008240626287597858
경상북도 울진군,6250.0,125.63131313131314,34,0.054565296471444154
대구광역시 남구,8000.0,153.26975476839237,511,0.20195075838955012
대구광역시 달서구,8000.0,143.82845188284517,933,0.06874048292364586
대구광역시 달성군,7000.0,127.49020172804208,162,0.01697680779424109
대구광역시 동구,7000.0,126.42225031605564,583,0.0948840594780077
대구광역시 북구,6000.0,128.2051282051282,665,0.043176960773731135
대구광역시 서구,6500.0,108.07472595337349,465,0.14561907609896896
대구광역시 수성구,9000.0,155.3279813780135,610,0.07698599817158254
대구광역시 중구,8000.0,178.03030303030303,115,0.026775553919271704
대전광역시 대덕구,7000.0,142.85714285714286,593,0.36849438143725827
대전광역시 동구,8000.0,200.0,1107,0.4954900105841912
대전광역시 서구,9000.0,208.33333333333334,2809,0.9276252127198105
대전광역시 유성구,9500.0,200.0,1913,0.3107932772094988
대전광역시 중구,8500.0,172.9020979020979,988,0.17037311712650705
부산광역시 금정구,7000.0,156.25,485,0.11033873993158998
부산광역시 남구,8000.0,181.57807857378674,447,0.10037268815514999
부산광역시 동구,6000.0,119.9040767386091,113,0.29928125368210207
부산광역시 동래구,9000.0,180.22075514058815,568,0.046523059637295694
부산광역시 부산진구,7000.0,168.0672268907563,422,0.057907903270638376
부산광역시 북구,6400.0,134.9527665317139,234,0.37153031018061694
부산광역시 사상구,7000.0,146.43237486687966,193,0.06518626172818397
부산광역시 사하구,7695.0,156.86444414941536,428,0.1034574569244228
부산광역시 서구,8000.0,178.49643007139858,193,0.0912316269640142
부산광역시 수영구,9500.0,351.9639588906096,1105,0.04658118610409669
부산광역시 연제구,8500.0,202.3860247123988,429,0.045935754040743945
부산광역시 영도구,5000.0,99.81497295758611,128,0.10031297648663831
부산광역시 중구,6800.0,152.80364118450572,94,0.4633096218644703
부산광역시 해운대구,7000.0,135.308842432853,403,0.07242576359231788
서울특별시 강남구,27300.0,648.5785396291233,4538,3.326514472038987
서울특별시 강동구,21000.0,531.5287245002364,5258,5.800822147564684
서울특별시 강북구,13000.0,280.9123849222692,3042,11.295434930382116
서울특별시 강서구,17200.0,385.60411311053986,5823,3.8385227077442234
서울특별시 관악구,15000.0,454.54545454545456,5563,11.1607886487878
서울특별시 광진구,21000.0,542.8571428571429,6252,10.940741067656942
서울특별시 구로구,14000.0,308.94539721112994,2898,3.1950895045160688
서울특별시 금천구,16000.0,394.23124257192484,2356,5.4883027441513725
서울특별시 노원구,12000.0,325.4237347966444,1484,2.5944978751957057
서울특별시 도봉구,13000.0,283.03695756620414,1860,6.271516701196078
서울특별시 동대문구,16207.0,423.3444209253099,2829,6.082715980269582
서울특별시 동작구,18000.0,490.80051976872903,4876,7.619157330875788
서울특별시 마포구,21000.0,563.4331911831621,5010,4.5485125054326145
서울특별시 서대문구,16000.0,360.83933098435176,2720,5.245725798853449
서울특별시 서초구,30000.0,688.8695146759663,4427,3.7150217193655926
서울특별시 성동구,18000.0,470.52139037433153,2576,5.6145946913600335
서울특별시 성북구,17000.0,387.34667527437057,3875,5.841131641227175
서울특별시 송파구,23000.0,521.5123859191656,8099,4.08898613605559
서울특별시 양천구,17000.0,366.78892964321443,3742,5.473131255767729
서울특별시 영등포구,17500.0,512.8205128205128,3228,4.638506798348689
서울특별시 용산구,23300.0,605.1039200210471,4603,5.207987934667508
서울특별시 은평구,17500.0,362.0689655172414,5341,6.548492831144805
서울특별시 종로구,20000.0,408.33233281306275,1541,4.246399455470817
서울특별시 중구,23000.0,527.5304978569073,1105,3.0025564336914567
서울특별시 중랑구,18200.0,451.6711833785004,4795,10.119081961159896
울산광역시 남구,7500.0,149.08313869701337,417,0.021677866897897247
울산광역시 동구,7000.0,111.14817285597806,192,0.031386826948729615
울산광역시 북구,7000.0,151.39013901390138,126,0.0071147369918892
울산광역시 울주군,8500.0,133.33333333333334,138,0.013066486639517412
울산광역시 중구,8000.0,140.49571513002365,380,0.09134582854049665
인천광역시 강화군,11500.0,136.275146009085,207,0.3896671033625584
인천광역시 계양구,8800.0,182.72711601448026,1459,2.5583794112176395
인천광역시 남동구,7000.0,162.98342541436463,1753,3.099367992624192
인천광역시 미추홀구,7655.0,164.19157913310397,1862,2.6409070000270587
인천광역시 부평구,8400.0,191.30259678859727,2012,2.780076278521224
인천광역시 연수구,8000.0,163.30556402180906,412,2.2409438850423196
인천광역시 옹진군,11730.0,216.79674471349477,46,0.06071031063442275
전북특별자치도 군산시,4200.0,90.9090909090909,374,0.016177096636866752
전북특별자치도 익산시,5500.0,144.77017734346725,255,0.03858753212206797
전북특별자치도 전주시,7000.0,145.45454545454547,1640,0.038407870442148585
제주특별자치도 서귀포시,18000.0,251.01031652400914,995,0.03413014085246591
제주특별자치도 제주시,18000.0,261.1752887995982,1291,0.10566252862717344
충청남도 공주시,5500.0,125.69130216189039,113,0.03548838277352149
충청남도 금산군,5000.0,115.38461538461539,59,0.2694509936005389
충청남도 논산시,7000.0,153.84615384615384,337,0.21299042538368138
충청남도 당진시,7000.0,135.44366899302094,422,0.028319495398081998
충청남도 보령시,6000.0,150.0,135,0.036528012419524226
충청남도 서산시,7000.0,131.45797906902794,358,0.016572754391779913
충청남도 아산시,6500.0,151.47186147186147,930,0.11369985836246214
충청남도 예산군,4000.0,90.02057613168724,63,0.013766519823788547
충청남도 천안시,7000.0,168.8845301474896,2408,0.24781845179575152
충청남도 태안군,5700.0,159.2817839559803,123,0.017196313110469114
충청북도 영동군,3500.0,113.63636363636364,45,0.047757772577486986
충청북도 제천시,5000.0,116.27906976744185,167,0.03178054695993978
충청북도 증평군,6000.0,133.33333333333334,149,0.0350099194771852
충청북도 진천군,5000.0,149.65657973322715,224,0.033482717766445166
충청북도 청주시,7000.0,141.24293785310735,2897,0.18265390622543212
충청북도 충주시,5000.0,127.79938606024746,372,0.03143697393773451
