연도,key,산업용,산업용여름,주택용,주택용여름,일반용,일반용여름,제조업,제조업여름,인구,온열,여름온열,여름온열률10만,가구수,다자녀,소년소녀가정,한부모가정,질환자,임산부,영유아,장애인,노인,발급률_인구천명,노인비중
2020,경기도 구리시,117.3,29.0,282.5,74.2,376.7,101.0,33.4,7.9,197454.0,2,2,1.0128941424331743,2056.0,0.0,16.0,164.0,361.0,0.0,25.0,716.0,774.0,10.412551784213033,37.64591439688716
2020,경기도 군포시,615.9,150.1,385.0,95.8,423.6,108.8,396.2,96.7,273791.0,3,3,1.0957263021793997,2572.0,0.0,34.0,176.0,393.0,4.0,25.0,1090.0,850.0,9.39402683068472,33.048211508553656
2020,경기도 김포시,2107.6,478.9,719.6,178.3,907.0,233.4,1990.0,449.0,473970.0,4,4,0.8439352701647783,3062.0,0.0,40.0,221.0,533.0,2.0,62.0,1073.0,1131.0,6.460324493111378,36.936642717178316
2020,경기도 남양주시,892.8,215.8,1033.5,259.1,1055.8,260.6,514.7,118.3,713321.0,12,12,1.682272076666746,5742.0,0.0,68.0,413.0,966.0,5.0,85.0,2144.0,2061.0,8.049671886850382,35.893416927899686
2020,경기도 동두천시,259.0,64.5,134.5,34.1,229.7,58.7,182.7,44.3,94353.0,6,6,6.359098279863915,1967.0,0.0,15.0,103.0,253.0,1.0,22.0,759.0,814.0,20.847243860820534,41.382816471784444
2020,경기도 부천시,1536.3,380.5,1195.1,308.5,1304.9,342.9,1363.8,339.7,818383.0,3,3,0.3665765295711176,8384.0,0.0,86.0,541.0,1400.0,4.0,84.0,3319.0,2950.0,10.244592079747502,35.18606870229007
2020,경기도 성남시,881.7,235.0,1422.4,374.7,2656.5,730.7,370.9,101.8,940064.0,9,8,0.8510058889607517,8337.0,0.0,74.0,498.0,1393.0,3.0,94.0,3366.0,2909.0,8.868545120332232,34.89264723521651
2020,경기도 수원시,698.7,179.5,1779.9,462.8,2902.3,784.9,568.9,146.2,1186078.0,11,10,0.8431148710287182,8320.0,0.0,101.0,623.0,1304.0,1.0,97.0,3108.0,3086.0,7.0147157269589355,37.09134615384615
2020,경기도 시흥시,2807.5,666.9,766.7,196.6,839.4,212.9,2662.4,630.1,500895.0,2,2,0.3992852793499635,3825.0,0.0,36.0,349.0,665.0,2.0,78.0,1511.0,1184.0,7.636330967568052,30.954248366013072
2020,경기도 안산시,5771.2,1465.2,966.0,248.5,1127.5,291.4,5460.9,1385.5,654915.0,4,4,0.6107662826473664,7605.0,0.0,81.0,704.0,1261.0,2.0,102.0,2890.0,2565.0,11.612193948833056,33.72781065088758
2020,경기도 안성시,1855.1,467.8,282.8,70.9,556.4,138.6,1786.2,449.5,187012.0,4,4,2.138900177528715,1817.0,0.0,22.0,109.0,247.0,3.0,33.0,764.0,639.0,9.715954056424188,35.16785910842047
2020,경기도 안양시,473.7,121.3,786.5,199.9,1320.5,350.2,344.3,88.4,550027.0,1,0,0.0,3863.0,0.0,32.0,248.0,660.0,1.0,37.0,1462.0,1423.0,7.0232915838677,36.8366554491328
2020,경기도 양주시,1140.5,261.3,291.3,74.3,517.6,128.7,1042.9,237.6,230359.0,8,8,3.472840218962576,2950.0,0.0,46.0,179.0,450.0,0.0,40.0,1157.0,1078.0,12.806098307424497,36.54237288135593
2020,경기도 양평군,110.5,26.9,172.4,41.8,284.2,64.8,26.5,6.4,118810.0,1,1,0.8416799932665601,1429.0,0.0,8.0,54.0,212.0,0.0,19.0,554.0,582.0,12.027607103779143,40.72778166550035
2020,경기도 여주시,510.7,122.2,157.0,39.0,342.2,85.9,460.9,109.6,111897.0,0,0,0.0,1612.0,0.0,27.0,77.0,180.0,0.0,21.0,675.0,632.0,14.40610561498521,39.20595533498759
2020,경기도 연천군,195.1,47.2,58.1,14.3,155.3,36.8,140.0,33.9,43516.0,2,2,4.596010662744738,939.0,0.0,9.0,55.0,131.0,0.0,8.0,355.0,381.0,21.57827006158654,40.57507987220447
2020,경기도 오산시,544.7,138.9,355.4,91.2,413.6,106.8,486.7,124.7,229725.0,9,9,3.917727717923604,1464.0,0.0,22.0,136.0,208.0,1.0,32.0,554.0,511.0,6.372837087822396,34.904371584699454
2020,경기도 용인시,5563.0,1457.8,1614.1,405.6,2565.0,665.7,4566.7,1188.4,1074176.0,14,14,1.3033245948522405,3774.0,0.0,51.0,225.0,577.0,2.0,62.0,1547.0,1310.0,3.5133907292659674,34.711181770005304
2020,경기도 의왕시,141.6,34.2,235.3,58.5,351.1,90.5,107.5,25.5,163795.0,0,0,0.0,846.0,0.0,4.0,53.0,125.0,0.0,13.0,344.0,307.0,5.164992826398852,36.28841607565012
2020,경기도 의정부시,255.0,63.1,657.1,165.5,705.9,183.2,58.1,13.4,461710.0,5,4,0.8663446752290399,5893.0,0.0,40.0,537.0,964.0,0.0,66.0,2073.0,2213.0,12.763422927811831,37.55302901747836
2020,경기도 이천시,5981.6,1558.0,313.7,80.1,746.9,188.6,5887.5,1533.1,218388.0,10,9,4.121105555250288,1811.0,0.0,23.0,128.0,223.0,3.0,24.0,747.0,663.0,8.29258017839808,36.609607951408066
2020,경기도 파주시,6525.6,1672.3,671.1,171.1,1043.0,257.9,6329.2,1620.6,465617.0,1,1,0.2147687906584166,4294.0,0.0,63.0,337.0,600.0,2.0,68.0,1587.0,1637.0,9.222171870872412,38.122962272938985
2020,경기도 평택시,9602.4,2483.1,867.7,221.9,1590.4,418.0,8821.0,2293.8,537307.0,9,8,1.488906714410942,4523.0,0.0,31.0,360.0,608.0,10.0,103.0,1798.0,1613.0,8.417906336600863,35.66217112535928
2020,경기도 포천시,1559.5,358.1,199.5,48.8,498.6,119.4,1430.4,323.9,147274.0,13,13,8.827084210383367,2381.0,0.0,25.0,117.0,341.0,1.0,23.0,1005.0,869.0,16.167144234555998,36.49727005459891
2020,경기도 하남시,528.4,137.1,462.3,126.0,605.5,161.9,88.2,21.0,293452.0,2,2,0.6815424669111132,2075.0,0.0,15.0,163.0,326.0,3.0,26.0,759.0,783.0,7.0710030942027995,37.734939759036145
2020,경기도 화성시,15250.5,3854.0,1343.4,344.2,2286.9,594.8,14960.3,3775.1,855248.0,21,20,2.3385029839298075,3595.0,0.0,50.0,317.0,559.0,4.0,105.0,1406.0,1154.0,4.203459113613829,32.10013908205841
2020,경상남도 거제시,1099.0,306.8,382.1,96.8,449.2,118.4,1024.0,287.1,245754.0,20,20,8.13821952033334,1695.0,0.0,24.0,115.0,237.0,0.0,41.0,737.0,541.0,6.897141043482507,31.917404129793507
2020,경상남도 거창군,131.2,33.9,83.3,20.2,112.0,26.4,113.5,29.4,61502.0,0,0,0.0,1132.0,0.0,16.0,61.0,131.0,0.0,17.0,519.0,388.0,18.40590549900816,34.275618374558306
2020,경상남도 고성군,373.1,108.4,71.1,17.3,111.5,27.1,188.5,47.4,51361.0,1,1,1.947002589513444,1032.0,0.0,8.0,32.0,116.0,0.0,14.0,483.0,379.0,20.09306672377874,36.724806201550386
2020,경상남도 김해시,3081.5,709.2,790.7,205.5,970.3,260.4,2799.5,633.0,542338.0,24,23,4.240897742736079,5920.0,0.0,59.0,499.0,927.0,7.0,101.0,2398.0,1929.0,10.915702016085909,32.58445945945946
2020,경상남도 남해군,21.2,5.5,54.2,13.1,102.8,25.6,8.3,2.2,42958.0,4,4,9.311420457190744,922.0,0.0,7.0,24.0,98.0,0.0,11.0,441.0,341.0,21.462824153824666,36.984815618221255
2020,경상남도 밀양시,503.2,115.2,147.7,36.8,211.8,52.8,440.8,99.5,104831.0,13,13,12.400911943986037,2132.0,0.0,20.0,74.0,271.0,0.0,16.0,970.0,781.0,20.337495588137095,36.632270168855534
2020,경상남도 사천시,816.6,196.1,160.4,40.6,244.4,61.5,756.5,180.5,111105.0,3,3,2.700148508167949,2099.0,0.0,18.0,83.0,265.0,0.0,23.0,920.0,790.0,18.892039062148417,37.63696998570748
2020,경상남도 산청군,83.2,21.3,43.0,10.3,68.9,16.6,68.8,17.5,34857.0,2,2,5.737728433313252,721.0,0.0,9.0,13.0,81.0,0.0,4.0,374.0,240.0,20.684511002094272,33.287101248266296
2020,경상남도 양산시,2337.1,570.2,531.0,137.2,636.6,167.6,1993.6,483.9,352229.0,10,10,2.83906208744879,3841.0,0.0,45.0,326.0,525.0,1.0,81.0,1504.0,1359.0,10.904837477890803,35.381411090861754
2020,경상남도 의령군,190.5,46.5,35.0,8.4,53.3,12.7,179.0,43.6,26800.0,1,1,3.7313432835820897,555.0,0.0,3.0,10.0,46.0,0.0,3.0,255.0,238.0,20.708955223880597,42.88288288288288
2020,경상남도 진주시,848.4,191.4,534.2,135.0,694.2,181.5,750.5,165.0,348096.0,15,15,4.309156094870381,4803.0,0.0,25.0,306.0,607.0,2.0,82.0,2099.0,1682.0,13.797917815774959,35.019779304601286
2020,경상남도 창녕군,469.3,108.8,82.7,20.1,136.1,33.5,448.8,103.4,61301.0,4,4,6.525179034599762,1287.0,0.0,16.0,45.0,137.0,0.0,9.0,616.0,464.0,20.994763543824735,36.05283605283605
2020,경상남도 창원시,6005.9,1403.5,1544.7,401.9,1987.2,530.6,5721.0,1329.7,1036738.0,30,29,2.7972351741712957,10687.0,0.0,102.0,621.0,1554.0,4.0,116.0,4411.0,3879.0,10.308293898747804,36.29643492093197
2020,경상남도 통영시,290.0,68.1,191.7,47.9,307.0,77.3,92.3,22.9,128293.0,1,1,0.7794657541720905,2478.0,0.0,36.0,178.0,364.0,3.0,34.0,995.0,868.0,19.315161388384404,35.02824858757062
