부지,기준,온열률10만,인구_1km,인구_3km,노인_3km,인구_45km,인구_10km,노인_10km,형상,장면,ΔR0내부,Δ0-1km,Δ1-2km,Δ2-3km,Δ3-5km,Δ5-10km
포항 광명,폴리곤경계,9.4,3435,32805,4647,61302,149380,32173,폴리곤,16,8.6,1.75,2.27,2.5,2.21,0.79
울산 하이테크밸리,폴리곤경계,8.7,3774,16436,4738,37195,73068,17023,폴리곤,16,10.08,5.9,2.7,2.32,1.78,0.46
동해 북평2,폴리곤경계,6.4,877,25978,4466,69791,123274,28459,폴리곤,26,11.06,7.61,4.78,6.04,4.59,2.13
KG스틸 인천,점,5.4,5765,302710,59278,833516,2741108,473449,점,10,,7.41,4.81,2.77,3.12,0.51
온산 강양·우봉지구,점,8.7,137,3959,923,5367,64467,10841,점,26,,4.07,6.23,4.27,1.42,1.71
