scene,date,path,row,지점,LST_30m,LST_100m,LST_500m,LST_1000m,지점명,Tavg,Tmax,Tmin,net,scene_id
LC08_L2SP_114034_20240612_20240628_02_T1,2024-06-12,114,034,106,35.09099444000003,35.384032688000026,37.10189635533982,37.19984131417871,동해,25.7,33.9,21.2,ASOS,LC08_L2SP_114034_20240612_20240628_02_T1
LC08_L2SP_114034_20240612_20240628_02_T1,2024-06-12,114,034,271,42.04780448,41.377774902285736,38.116877886597955,35.68170357789867,봉화,23.3,32.1,15.4,ASOS,LC08_L2SP_114034_20240612_20240628_02_T1
LC08_L2SP_114034_20240612_20240628_02_T1,2024-06-12,114,034,217,34.834642940000016,34.42669411485716,30.61070901078127,27.693615476043576,정선군,25.1,35.9,15.1,ASOS,LC08_L2SP_114034_20240612_20240628_02_T1
LC08_L2SP_114034_20240628_20240709_02_T1,2024-06-28,114,034,272,35.60939414000003,35.71802207085717,36.34845385051548,35.64200709360883,영주,22.6,30.9,13.7,ASOS,LC08_L2SP_114034_20240628_20240709_02_T1
LC08_L2SP_114034_20240628_20240709_02_T1,2024-06-28,114,034,106,31.19217296000001,30.805936700000018,30.99340272750371,30.673488794755535,동해,22.4,26.5,18.4,ASOS,LC08_L2SP_114034_20240628_20240709_02_T1
LC08_L2SP_114034_20240628_20240709_02_T1,2024-06-28,114,034,271,,,32.35932682005573,32.23443570120484,봉화,22.2,30.6,14.5,ASOS,LC08_L2SP_114034_20240628_20240709_02_T1
LC08_L2SP_114034_20240628_20240709_02_T1,2024-06-28,114,034,130,32.176562720000014,32.38734062000002,32.39594164913297,32.17205495480002,울진,20.9,24.2,16.0,ASOS,LC08_L2SP_114034_20240628_20240709_02_T1
LC08_L2SP_114035_20200820_20200905_02_T1,2020-08-20,114,035,138,42.16971386000002,42.81451519485715,42.81876953722135,42.95252895338704,포항,27.8,33.0,25.4,ASOS,LC08_L2SP_114035_20200820_20200905_02_T1
LC08_L2SP_114035_20200820_20200905_02_T1,2020-08-20,114,035,277,35.61964820000001,36.29488618914287,38.53354744494847,37.47456357882111,영덕,26.5,31.7,23.1,ASOS,LC08_L2SP_114035_20200820_20200905_02_T1
LC08_L2SP_114035_20200820_20200905_02_T1,2020-08-20,114,035,281,,44.55577665500002,41.8914352438182,40.52898376315219,영천,27.4,34.4,21.7,ASOS,LC08_L2SP_114035_20200820_20200905_02_T1
LC08_L2SP_114035_20200820_20200905_02_T1,2020-08-20,114,035,272,36.935585900000014,37.2578889097143,37.779641077113425,37.35884076156887,영주,26.0,32.8,20.2,ASOS,LC08_L2SP_114035_20200820_20200905_02_T1
LC08_L2SP_114035_20200820_20200905_02_T1,2020-08-20,114,035,288,45.13085852000004,44.72050080457145,43.09586421839417,43.296172607944726,밀양,29.2,36.2,23.6,ASOS,LC08_L2SP_114035_20200820_20200905_02_T1
LC08_L2SP_114035_20200820_20200905_02_T1,2020-08-20,114,035,279,41.749297400000025,41.93725594742859,39.79229106000002,38.89405372164417,구미,28.5,34.9,23.3,ASOS,LC08_L2SP_114035_20200820_20200905_02_T1
LC08_L2SP_114035_20200820_20200905_02_T1,2020-08-20,114,035,278,43.503881000000014,42.93502481428573,39.14259080587668,39.33419265739214,의성,27.3,35.1,21.6,ASOS,LC08_L2SP_114035_20200820_20200905_02_T1
