시군구,온열질환_절대건수,비중%,순위
경상북도 성주군,15,0.1,235
강원특별자치도 양양군,15,0.1,236
서울특별시 서대문구,15,0.1,237
경상남도 함안군,14,0.09,238
전라북도 고창군,14,0.09,239
경상북도 영천시,12,0.08,240
강원특별자치도 화천군,12,0.08,241
강원특별자치도 인제군,10,0.07,242
경기도 고양시 일산서구,9,0.06,243
강원특별자치도 고성군,9,0.06,244
경상북도 고령군,9,0.06,245
대구광역시 군위군,9,0.06,246
전라남도 장흥군,8,0.05,247
경상남도 거창군,6,0.04,248
인천광역시 옹진군,6,0.04,249
경상북도 영양군,5,0.03,250
경상북도 군위군,4,0.03,251
전라북도 전주시,4,0.03,252
경기도 안산시,1,0.01,253
경기도 성남시,1,0.01,254
