key,정전건수,정전호수,평균지속h,온열발생,중증률,전력GWh
서울특별시 서초구,188,19575.0,0.3989258274231678,30,0.0,2741.188955
세종특별자치시 세종특별자치시,140,8596.0,0.4001646825396825,131,1.5,2802.5
인천광역시 강화군,91,24061.0,0.5494597069597069,55,5.5,444.507704
전라남도 강진군,59,11213.0,0.4508804143126177,20,5.0,356.267665
전라남도 고흥군,114,19332.0,0.4286915204678363,32,9.4,473.227838
전라남도 곡성군,31,5403.0,0.4701164874551971,24,0.0,181.622165
전라남도 광양시,79,5409.0,0.357964135021097,207,5.3,1617.02633
전라남도 구례군,20,3261.0,0.3430694444444444,43,0.0,137.399857
전라남도 나주시,210,18597.0,0.2743769841269841,37,10.8,972.002085
전라남도 담양군,53,12268.0,0.352751572327044,29,6.9,365.893949
전라남도 목포시,89,10645.0,0.2811204744069912,121,5.8,784.491613
전라남도 무안군,135,18364.0,0.6813024691358024,63,9.5,617.574072
전라남도 보성군,99,10426.0,0.275530303030303,19,10.5,237.691326
전라남도 순천시,143,23325.0,0.4388888888888889,157,4.5,1824.623765
전라남도 신안군,47,7026.0,1.1573404255319149,55,14.5,291.541653
전라남도 여수시,159,26652.0,0.4081376659678546,218,7.8,12115.880856
전라남도 영광군,105,15070.0,0.3188253968253968,38,13.2,666.181485
전라남도 영암군,150,10306.0,0.4019185185185185,55,18.2,1162.93832
전라남도 완도군,58,14870.0,0.5144588122605364,22,9.1,1026.746802
전라남도 장성군,49,6721.0,0.5808106575963718,27,11.1,438.32775
전라남도 장흥군,40,2004.0,0.2325694444444444,8,12.5,316.189184
전라남도 진도군,76,8010.0,0.401798245614035,38,7.9,309.014588
전라남도 함평군,82,9197.0,0.3055623306233062,48,0.0,358.240255
전라남도 해남군,169,23297.0,0.4017077580539118,80,10.0,701.546276
전라남도 화순군,51,4107.0,0.2949782135076252,20,0.0,419.759051
전라북도 고창군,108,13308.0,0.3394984567901234,14,28.6,557.365996
전라북도 군산시,178,9536.0,0.2341182896379525,141,1.4,5518.64717
전라북도 김제시,105,18736.0,0.4003148148148148,41,7.3,905.259234
전라북도 남원시,69,4851.0,0.1287278582930756,57,0.0,422.441972
전라북도 무주군,21,3778.0,0.6450661375661375,19,5.3,167.844504
전라북도 부안군,89,3386.0,0.293689138576779,36,0.0,389.634594
전라북도 순창군,29,6694.0,0.4908716475095785,39,0.0,179.864861
전라북도 익산시,192,26492.0,0.2808232060185185,129,1.6,2282.269624
전라북도 임실군,33,2191.0,0.1279882154882154,36,11.1,181.363601
전라북도 장수군,31,11179.0,0.4854390681003585,19,5.3,169.908783
전라북도 정읍시,196,25175.0,0.2333205782312924,83,4.8,1126.921054
전라북도 진안군,33,5258.0,0.6401599326599327,58,6.9,161.646675
제주특별자치도 서귀포시,350,25408.0,0.295431746031746,146,4.8,2044.780627
충청남도 공주시,68,12639.0,0.440359477124183,41,9.8,783.723106
충청남도 금산군,58,3427.0,0.1998946360153256,17,0.0,471.604898
충청남도 논산시,66,4707.0,0.2401599326599326,47,12.8,1097.514895
충청남도 당진시,144,11180.0,0.2844328703703704,144,5.6,5977.476821
충청남도 보령시,91,12118.0,0.4978724053724054,25,0.0,1038.22985
충청남도 부여군,81,5752.0,0.2712037037037037,60,6.7,504.835488
충청남도 서산시,138,9958.0,0.2957206119162641,92,5.4,8876.612551
충청남도 서천군,72,4790.0,0.1921219135802469,19,21.1,557.656959
충청남도 아산시,187,15027.0,0.4485398098633393,118,4.2,12583.585087
충청남도 예산군,117,3871.0,0.1787013295346628,114,5.3,1053.410652
충청남도 천안시,314,32349.0,0.477267338995046,131,6.9,7660.45105
충청남도 청양군,48,6791.0,0.2289236111111111,47,6.4,273.97833
충청남도 태안군,130,22429.0,0.3683034188034188,23,8.7,856.740454
충청남도 홍성군,120,10702.0,0.4322384259259259,59,6.8,834.191239
충청북도 단양군,55,5219.0,0.1922323232323232,28,10.7,1457.764714
충청북도 보은군,70,8879.0,0.2721150793650794,35,8.6,282.16766
충청북도 영동군,47,9959.0,0.5384692671394798,26,3.8,267.64709
충청북도 옥천군,52,10993.0,0.5038675213675213,46,2.2,364.83326
충청북도 음성군,116,9218.0,0.3646192528735632,60,8.3,2964.003712
충청북도 제천시,127,17353.0,0.3547965879265092,74,8.1,1179.480584
충청북도 진천군,135,6560.0,0.1387860082304526,64,9.4,2765.313816
충청북도 청주시,128,12212.0,0.3111306423611111,293,2.7,8039.52746
충청북도 충주시,188,16193.0,0.2183717494089834,44,18.2,2087.191094
