key,산단수,총지정면적_천m2,노후수,총면적km2,근사반경km
전라남도 곡성군,4,1132.0,3,1.1,0.6
전라남도 광양시,5,100814.0,1,100.8,5.66
전라남도 구례군,3,295.0,1,0.3,0.31
전라남도 나주시,12,5162.0,5,5.2,1.28
전라남도 담양군,4,1324.0,2,1.3,0.65
전라남도 목포시,4,2410.0,2,2.4,0.88
전라남도 무안군,7,1526.0,3,1.5,0.7
전라남도 보성군,4,438.0,2,0.4,0.37
전라남도 순천시,6,2952.0,3,3.0,0.97
전라남도 신안군,1,272.0,0,0.3,0.29
전라남도 여수시,9,78478.0,4,78.5,5.0
전라남도 영광군,6,2623.0,1,2.6,0.91
전라남도 영암군,10,48175.0,3,48.2,3.92
전라남도 완도군,3,654.0,2,0.7,0.46
전라남도 장성군,4,1393.0,2,1.4,0.67
전라남도 장흥군,4,3192.0,1,3.2,1.01
전라남도 진도군,3,1047.0,1,1.0,0.58
전라남도 함평군,7,6034.0,2,6.0,1.39
전라남도 해남군,4,2460.0,1,2.5,0.88
전라남도 화순군,8,2027.0,4,2.0,0.8
전북특별자치도 고창군,5,1594.0,2,1.6,0.71
전북특별자치도 군산시,10,142046.0,5,142.0,6.72
전북특별자치도 김제시,13,9054.0,7,9.1,1.7
전북특별자치도 남원시,8,1847.0,5,1.8,0.77
전북특별자치도 무주군,3,336.0,1,0.3,0.33
전북특별자치도 부안군,5,1263.0,2,1.3,0.63
전북특별자치도 순창군,5,693.0,2,0.7,0.47
전북특별자치도 완주군,6,10550.0,4,10.6,1.83
전북특별자치도 익산시,14,16445.0,5,16.4,2.29
전북특별자치도 임실군,5,842.0,3,0.8,0.52
전북특별자치도 장수군,3,486.0,3,0.5,0.39
전북특별자치도 전주시,7,3914.0,2,3.9,1.12
전북특별자치도 정읍시,12,4645.0,8,4.6,1.22
전북특별자치도 진안군,3,465.0,2,0.5,0.38
제주특별자치도 서귀포시,1,115.0,1,0.1,0.19
제주특별자치도 제주시,5,2342.0,3,2.3,0.86
충청남도 계룡시,2,515.0,1,0.5,0.4
충청남도 공주시,19,5334.0,6,5.3,1.3
충청남도 금산군,5,1621.0,4,1.6,0.72
충청남도 논산시,15,3859.0,6,3.9,1.11
충청남도 당진시,18,43279.0,9,43.3,3.71
충청남도 보령시,12,11838.0,7,11.8,1.94
충청남도 부여군,7,1324.0,4,1.3,0.65
충청남도 서산시,19,18944.0,6,18.9,2.46
충청남도 서천군,5,3758.0,2,3.8,1.09
충청남도 아산시,31,24674.0,8,24.7,2.8
충청남도 예산군,15,7773.0,7,7.8,1.57
충청남도 천안시,27,20767.0,9,20.8,2.57
충청남도 청양군,8,1918.0,5,1.9,0.78
충청남도 태안군,3,233.0,1,0.2,0.27
충청남도 홍성군,10,3368.0,5,3.4,1.04
충청북도 괴산군,7,2687.0,2,2.7,0.92
충청북도 단양군,4,707.0,2,0.7,0.47
충청북도 보은군,6,6635.0,5,6.6,1.45
충청북도 영동군,6,1817.0,4,1.8,0.76
충청북도 옥천군,9,1713.0,6,1.7,0.74
충청북도 음성군,27,14942.0,9,14.9,2.18
충청북도 제천시,9,4626.0,5,4.6,1.21
충청북도 증평군,7,2531.0,2,2.5,0.9
충청북도 진천군,25,13050.0,7,13.0,2.04
충청북도 청주시,29,56280.0,6,56.3,4.23
충청북도 충주시,25,13650.0,6,13.6,2.08
