key,인구,고령,온열,온열률10만,온열률고령10만,정전건수,정전율만명,전력GWh,중증률,고령%,반지하,옥탑,반지하%,옥탑%
경상남도 밀양시,102221,33054,62,60.7,187.6,109,10.66,1114.0,8.1,32.33582140656029,,,,
경상남도 사천시,109316,26807,47,43.0,175.3,73,6.68,994.0,0.0,24.522485272055324,,,,
경상남도 산청군,33833,13698,44,130.0,321.2,53,15.66,251.0,4.5,40.48709839505808,,,,
경상남도 양산시,356092,58136,75,21.1,129.0,178,5.0,2857.0,12.0,16.326117969513497,7.0,130.0,0.004590133835187966,0.08524534265349079
경상남도 의령군,25740,10405,26,101.0,249.9,28,10.88,229.0,3.8,40.42346542346542,,,,
경상남도 진주시,342462,66100,141,41.2,213.3,188,5.49,2080.0,2.8,19.30141154347052,26.0,192.0,0.01697560083833352,0.1253582831138475
경상남도 창녕군,57978,20491,30,51.7,146.4,45,7.76,884.0,30.0,35.342716202697574,,,,
경상남도 창원시,1015126,176583,280,27.6,158.6,180,1.77,7855.0,4.3,17.39518049976062,425.0,110.0,0.09864817187529014,0.025532468014780978
경상남도 통영시,122009,28346,41,33.6,144.6,59,4.84,818.0,4.9,23.232712340892885,7.0,20.0,0.01297882597248489,0.0370823599213854
경상남도 하동군,42174,16350,49,116.2,299.7,65,15.41,398.0,2.0,38.76796130317257,,,,
경상남도 함안군,60797,17672,14,23.0,79.2,114,18.75,2764.0,7.1,29.0672237116963,,,,
경상남도 함양군,37274,13884,29,77.8,208.9,30,8.05,205.0,6.9,37.24848419810055,,,,
경상남도 합천군,41616,17913,47,112.9,262.4,67,16.1,289.0,0.0,43.043540945790085,,,,
경상북도 경산시,266046,51131,30,11.3,58.7,112,4.21,2210.0,10.0,19.2188568894101,122.0,18.0,0.0942594452599861,0.0139071312678668
경상북도 경주시,248551,63465,98,39.4,154.4,301,12.11,3582.0,9.2,25.533995035224162,22.0,30.0,0.019053557818887273,0.025982124298482647
경상북도 고령군,30367,10788,9,29.6,83.4,58,19.1,1072.0,11.1,35.525405868212204,,,,
경상북도 구미시,408538,47685,213,52.1,446.7,172,4.21,7883.0,5.2,11.672108836876863,11.0,11.0,0.006100672183153271,0.006100672183153271
경상북도 김천시,137810,35493,76,55.1,214.1,65,4.72,1508.0,3.9,25.755025034467742,6.0,9.0,0.009736624312350908,0.01460493646852636
경상북도 문경시,69048,23169,69,99.9,297.8,88,12.74,336.0,10.1,33.55491831769204,,,,
경상북도 봉화군,29858,12163,29,97.1,238.4,56,18.76,179.0,6.9,40.736151115278986,,,,
경상북도 상주시,93868,32423,49,52.2,151.1,84,8.95,526.0,14.3,34.54105765543103,,,,
경상북도 성주군,42180,15262,15,35.6,98.3,63,14.94,909.0,13.3,36.18302513039355,,,,
경상북도 영덕군,34373,14163,16,46.5,113.0,35,10.18,215.0,25.0,41.20385186047188,,,,
경상북도 영양군,15993,6488,5,31.3,77.1,19,11.88,75.0,0.0,40.56774838992059,,,,
경상북도 영주시,100340,30217,40,39.9,132.4,57,5.68,581.0,7.5,30.11461032489536,,,,
경상북도 영천시,99755,31392,12,12.0,38.2,74,7.42,1168.0,25.0,31.46909929326851,,,,
경상북도 예천군,55154,17741,66,119.7,372.0,59,10.7,254.0,6.1,32.166298001958154,,,,
경상북도 울진군,47048,14485,61,129.7,421.1,56,11.9,456.0,0.0,30.787706172419654,12.0,6.0,0.054565296471444154,0.027282648235722077
경상북도 의성군,49870,22493,39,78.2,173.4,102,20.45,331.0,7.7,45.10326849809505,,,,
경상북도 청도군,41297,17220,20,48.4,116.1,27,6.54,402.0,15.0,41.69794416059278,,,,
경상북도 청송군,24162,9955,28,115.9,281.3,35,14.49,145.0,0.0,41.201059514940816,,,,
경상북도 칠곡군,110645,20523,45,40.7,219.3,65,5.87,1606.0,4.4,18.548511003660355,,,,
경상북도 포항시,496123,101904,293,59.1,287.5,214,4.31,4796.0,3.8,20.54006768482816,,,,
광주광역시 광산구,397734,43830,111,27.9,253.2,231,5.81,2742.0,2.7,11.019927891505379,7.0,6.0,0.004236570072869005,0.003631345776744862
대구광역시 군위군,22634,10644,9,39.8,84.6,72,31.81,236.0,11.1,47.026597154722985,,,,
부산광역시 기장군,176589,32009,61,34.5,190.6,74,4.19,1291.0,3.3,18.12627060575687,,,,
부산광역시 동래구,271549,56529,22,8.1,38.9,198,7.29,729.0,4.5,20.817237404667296,53.0,14.0,0.046523059637295694,0.01228911009287056
부산광역시 영도구,107333,33367,38,35.4,113.9,37,3.45,304.0,10.5,31.087363625352875,50.0,25.0,0.10031297648663831,0.050156488243319156
서울특별시 강남구,543320,84612,34,6.3,40.2,199,3.66,3965.0,11.8,15.57314289921225,7529.0,147.0,3.326514472038987,0.0649485492614864
서울특별시 서초구,412033,64862,30,7.3,46.3,188,4.56,2741.0,0.0,15.741942999711188,5884.0,115.0,3.7150217193655926,0.07260834427719973
인천광역시 강화군,69467,25408,55,79.2,216.5,91,13.1,445.0,5.5,36.57564023205263,,,,
전라남도 강진군,33039,12427,20,60.5,160.9,59,17.86,356.0,5.0,37.61312388389479,,,,
전라남도 고흥군,61553,27028,32,52.0,118.4,114,18.52,473.0,9.4,43.910126232677534,,,,
전라남도 곡성군,27231,10559,24,88.1,227.3,31,11.38,182.0,0.0,38.775660093276045,,,,
전라남도 광양시,152847,23222,207,135.4,891.4,79,5.17,1617.0,5.3,15.192970748526305,,,,
전라남도 구례군,24625,9245,43,174.6,465.1,20,8.12,137.0,0.0,37.54314720812183,,,,
전라남도 나주시,116650,27968,37,31.7,132.3,210,18.0,972.0,10.8,23.975996570938708,,,,
전라남도 담양군,45404,15326,29,63.9,189.2,53,11.67,366.0,6.9,33.754735265615366,,,,
전라남도 목포시,214270,41818,121,56.5,289.3,89,4.15,784.0,5.8,19.516497876510943,13.0,14.0,0.013431694666584011,0.014464901948628935
전라남도 무안군,91070,18828,63,69.2,334.6,135,14.82,618.0,9.5,20.674206654222026,,,,
전라남도 보성군,38319,15981,19,49.6,118.9,99,25.84,238.0,10.5,41.70515932044155,,,,
전라남도 순천시,278720,49901,157,56.3,314.6,143,5.13,1825.0,4.5,17.903630884041334,14.0,11.0,0.011959678797198019,0.009396890483512728
전라남도 신안군,38846,14951,55,141.6,367.9,47,12.1,292.0,14.5,38.48787519950574,,,,
전라남도 여수시,272427,60270,218,80.0,361.7,159,5.84,12116.0,7.8,22.123357816956467,15.0,19.0,0.012852479243246024,0.01627980704144496
전라남도 영광군,52442,16242,38,72.5,234.0,105,20.02,666.0,13.2,30.97135883452195,,,,
전라남도 영암군,52140,15174,55,105.5,362.4,150,28.77,1163.0,18.2,29.102416570771002,,,,
전라남도 완도군,47171,16749,22,46.6,131.4,58,12.3,1027.0,9.1,35.50698522397235,,,,
전라남도 장성군,43083,14079,27,62.7,191.8,49,11.37,438.0,11.1,32.67878281456723,,,,
전라남도 장흥군,35615,13262,8,22.5,60.3,40,11.23,316.0,12.5,37.23711919135196,,,,
전라남도 진도군,29370,10629,38,129.4,357.5,76,25.88,309.0,7.9,36.1899897854954,,,,
전라남도 함평군,30696,12159,48,156.4,394.8,82,26.71,358.0,0.0,39.61102423768569,,,,
전라남도 해남군,65280,23189,80,122.5,345.0,169,25.89,702.0,10.0,35.52236519607843,,,,
전라남도 화순군,61562,18017,20,32.5,111.0,51,8.28,420.0,0.0,29.26643059029921,,,,
제주특별자치도 서귀포시,182638,39361,146,79.9,370.9,350,19.16,2045.0,4.8,21.551374850797753,26.0,13.0,0.03413014085246591,0.017065070426232953
충청남도 공주시,102271,30144,41,40.1,136.0,68,6.65,784.0,9.8,29.47463112710348,17.0,21.0,0.03548838277352149,0.043838590484938315
충청남도 금산군,50097,17326,17,33.9,98.1,58,11.58,472.0,0.0,34.58490528374953,64.0,10.0,0.2694509936005389,0.0421017177500842
충청남도 논산시,111584,33224,47,42.1,141.5,66,5.91,1098.0,12.8,29.7748781187267,107.0,20.0,0.21299042538368138,0.039811294464239505
충청남도 당진시,169398,34786,144,85.0,414.0,144,8.5,5977.0,5.6,20.535071252317028,22.0,11.0,0.028319495398081998,0.014159747699040999
충청남도 보령시,96243,28232,25,26.0,88.6,91,9.46,1038.0,0.0,29.33408143968912,16.0,15.0,0.036528012419524226,0.03424501164330396
충청남도 부여군,61740,23869,60,97.2,251.4,81,13.12,505.0,6.7,38.66051182377713,,,,
충청남도 서산시,175257,36280,92,52.5,253.6,138,7.87,8877.0,5.4,20.701027633703646,13.0,26.0,0.016572754391779913,0.033145508783559825
충청남도 서천군,49520,19804,19,38.4,95.9,72,14.54,558.0,21.1,39.9919224555735,,,,
충청남도 아산시,339239,48850,118,34.8,241.6,187,5.51,12584.0,4.2,14.399877372589826,175.0,48.0,0.11369985836246214,0.031186246865132477
충청남도 예산군,78035,26467,114,146.1,430.7,117,14.99,1053.0,5.3,33.916832190683664,5.0,12.0,0.013766519823788547,0.03303964757709251
충청남도 천안시,659175,84620,131,19.9,154.8,314,4.76,7660.0,6.9,12.837258694580347,731.0,80.0,0.24781845179575152,0.02712103439625187
충청남도 청양군,30244,11721,47,155.4,401.0,48,15.87,274.0,6.4,38.7547943393731,,,,
충청남도 태안군,60910,21336,23,37.8,107.8,130,21.34,857.0,8.7,35.028730914463964,,,,
충청남도 홍성군,99128,25876,59,59.5,228.0,120,12.11,834.0,6.8,26.10362359777258,,,,
충청북도 단양군,27852,9898,28,100.5,282.9,55,19.75,1458.0,10.7,35.53784288381445,,,,
충청북도 보은군,31301,12029,35,111.8,291.0,70,22.36,282.0,8.6,38.430082106003006,,,,
충청북도 영동군,44830,16022,26,58.0,162.3,47,10.48,268.0,3.8,35.73946018291323,,,,
충청북도 옥천군,49472,16496,46,93.0,278.8,52,10.51,365.0,2.2,33.34411384217335,,,,
충청북도 음성군,92351,22453,60,65.0,267.2,116,12.56,2964.0,8.3,24.312676635878333,,,,
충청북도 제천시,130393,33029,74,56.8,224.0,127,9.74,1179.0,8.1,25.33034748797865,19.0,5.0,0.03178054695993978,0.008363301831563101
충청북도 진천군,85735,15659,64,74.6,408.7,135,15.75,2765.0,9.4,18.26441943197061,13.0,8.0,0.033482717766445166,0.020604749394735486
충청북도 청주시,850987,131415,293,34.4,223.0,128,1.5,8040.0,2.7,15.442656585823286,697.0,190.0,0.18265390622543212,0.04979087831109341
충청북도 충주시,208229,47204,44,21.1,93.2,188,9.03,2087.0,18.2,22.66927277180412,31.0,31.0,0.03143697393773451,0.03143697393773451
