"행정구역(동읍면)별","5세별","항목","단위","2020 년","2021 년","2022 년","2023 년","2024 년","2025 년",
"서울특별시","45 - 49세","여자인구수[명]","명","403882","379501","365121","345507","343623","346495",
"서울특별시","50 - 54세","남자인구수[명]","명","387425","394245","396476","391756","383157","367811",
"서울특별시","50 - 54세","여자인구수[명]","명","397305","407647","405352","401931","392601","378546",
"서울특별시","55 - 59세","남자인구수[명]","명","361157","348512","338707","343004","347767","354113",
"서울특별시","55 - 59세","여자인구수[명]","명","377669","356790","352267","358866","362543","367244",
"서울특별시","60 - 64세","남자인구수[명]","명","339633","343867","342841","338627","332715","323312",
"서울특별시","60 - 64세","여자인구수[명]","명","374827","378795","375090","368208","359975","347418",
"서울특별시","65 - 69세","남자인구수[명]","명","247661","263247","270603","284228","295060","301856",
"서울특별시","65 - 69세","여자인구수[명]","명","281833","300013","309253","324875","338489","346257",
"서울특별시","70 - 74세","남자인구수[명]","명","185490","182384","187795","191108","200415","216543",
"서울특별시","70 - 74세","여자인구수[명]","명","219056","214185","220686","225940","236366","258678",
"서울특별시","75 - 79세","남자인구수[명]","명","134926","134124","135811","142967","149377","155913",
"서울특별시","75 - 79세","여자인구수[명]","명","164604","165107","169204","178454","187613","196131",
"서울특별시","80 - 84세","남자인구수[명]","명","77789","83319","93014","97049","99931","102085",
"서울특별시","80 - 84세","여자인구수[명]","명","110430","115819","126547","131782","135014","137999",
"서울특별시","85 - 89세","남자인구수[명]","명","30550","33205","35923","39975","44444","47974",
"서울특별시","85 - 89세","여자인구수[명]","명","59325","62666","65725","70408","75861","79853",
"서울특별시","90 - 94세","남자인구수[명]","명","8848","8844","9315","10239","11436","13456",
"서울특별시","90 - 94세","여자인구수[명]","명","24655","24971","25221","26570","28631","31559",
"서울특별시","95 - 99세","남자인구수[명]","명","2373","1793","1682","1820","2179","2355",
"서울특별시","95 - 99세","여자인구수[명]","명","6807","6127","6136","6717","7348","8030",
"서울특별시","100+","남자인구수[명]","명","1791","381","274","319","334","291",
"서울특별시","100+","여자인구수[명]","명","5001","1262","1018","1129","1150","1122",
"종로구","0 - 4세","남자인구수[명]","명","1558","1363","1287","1203","1167","1150",
"종로구","0 - 4세","여자인구수[명]","명","1522","1357","1225","1139","1087","1054",
"종로구","5 - 9세","남자인구수[명]","명","2245","2177","1953","1786","1640","1459",
"종로구","5 - 9세","여자인구수[명]","명","2202","2087","1938","1791","1617","1427",
