지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2)
90,속초,2020-06-16,23.5,18.7,2352,27.3,1142,,2.3,56.3,14.8,14,,,
90,속초,2020-06-17,22.5,17.4,303,27.5,1540,,1.7,71.5,14.8,12.9,,,
90,속초,2020-06-18,20.7,17.9,2350,24.3,55,.8,2.4,80.8,14.8,.4,,,
90,속초,2020-06-19,18.1,17.2,409,18.9,1823,3,1.9,93.9,14.8,0,,,
90,속초,2020-06-20,20.3,16.1,443,23.8,1301,,2.3,85,14.8,9.2,,,
90,속초,2020-06-21,21.3,18.6,2357,25,1143,,2.4,82.1,14.8,9.9,,,
90,속초,2020-06-22,21.1,17.4,325,26.7,1105,,1.4,83.3,14.8,12.9,,,
90,속초,2020-06-23,21.9,18.8,26,26,1159,,1.2,84.4,14.8,3.4,,,
90,속초,2020-06-24,20,18.8,2034,21.8,921,51.1,1.7,95.3,14.8,0,,,
90,속초,2020-06-25,19.3,18.5,2346,21.6,1012,.3,2.8,92.6,14.8,0,,,
90,속초,2020-06-26,23.8,18.2,407,28.6,1523,,2,68.6,14.8,8.7,,,
90,속초,2020-06-27,25.3,20.6,2358,30.4,1154,1,2,66.5,14.8,8.4,,,
90,속초,2020-06-28,21.6,19.4,509,24.1,1505,,1.6,86,14.8,9.8,,,
90,속초,2020-06-29,21.4,20.5,529,23.1,1345,.6,1.8,88.3,14.8,0,,,
90,속초,2020-06-30,18.7,16.4,2339,21,23,214.6,5.6,96.1,14.8,0,,,
90,속초,2020-07-01,19.5,16.1,414,25,1515,7.7,1.2,81,14.8,5.9,,,
90,속초,2020-07-02,22,18,39,25.7,1104,,1.5,76.9,14.8,12.8,,,
90,속초,2020-07-03,21.7,18.6,2355,25.2,1315,,2.2,82.1,14.8,12.4,,,
90,속초,2020-07-04,21.1,18,252,24.8,1418,,1.6,80.5,14.8,11.7,,,
90,속초,2020-07-05,23.2,18.4,31,28.2,1454,,2,74.6,14.7,13.6,,,
90,속초,2020-07-06,22.8,19,535,27.9,1006,,1.2,80.9,14.7,8.9,,,
90,속초,2020-07-07,23.1,21,104,26.9,1459,,1.6,85.8,14.7,9.7,,,
90,속초,2020-07-08,23.4,20.6,58,27,1010,,1.7,82.1,14.7,8.5,,,
90,속초,2020-07-09,22.7,21.1,401,25.8,1410,0,1.8,86,14.7,2.3,,,
90,속초,2020-07-10,21.5,20.5,1111,22.3,1448,84.4,2.1,96.5,14.7,0,,,
90,속초,2020-07-11,19.3,16.7,836,21.8,1311,36.3,2.5,89.9,14.7,0,,,
90,속초,2020-07-12,19.7,15.6,426,22.8,1245,,1.3,84.1,14.6,5.5,,,
90,속초,2020-07-13,19,18.2,1031,19.9,1,29,3.3,91.9,14.6,0,,,
90,속초,2020-07-14,18.4,17.1,509,19.8,1455,24.9,3.4,87.8,14.6,.1,,,
90,속초,2020-07-15,19.6,16.3,2359,23.2,1238,0,1.4,77.6,14.6,9.4,,,
90,속초,2020-07-16,20.5,15.7,436,24.3,1240,,2.3,80.5,14.6,13.7,,,
90,속초,2020-07-17,21.5,17.9,201,24.9,1316,,2.3,81.5,14.5,13.1,,,
90,속초,2020-07-18,21.6,19.6,12,25.3,1139,,1.9,81.3,14.5,9.1,,,
90,속초,2020-07-19,21.1,19.3,539,24.4,903,2.7,.9,88.8,14.5,1.3,,,
90,속초,2020-07-20,26.9,20.8,4,30.9,1518,0,2.2,67.8,14.5,1.3,,,
90,속초,2020-07-21,25.2,22,2356,28.9,1101,,1.8,71.9,14.4,11.9,,,
90,속초,2020-07-22,22.8,20.8,440,25.3,1542,,.8,87.8,14.4,.6,,,
90,속초,2020-07-23,21.1,19.2,2158,22.7,1025,22.2,1.6,94.8,14.4,0,,,
90,속초,2020-07-24,19.8,18.3,638,20.8,137,115.5,4.9,96,14.4,0,,,
90,속초,2020-07-25,19.9,19.4,2137,20.7,210,34,5.8,97.4,14.3,0,,,
90,속초,2020-07-26,20.5,18.9,232,23.2,1157,13.2,2.2,92.3,14.3,1.2,,,
90,속초,2020-07-27,20.3,19.7,159,21.4,1417,1.9,.7,95.9,14.3,0,,,
90,속초,2020-07-28,21.3,20,537,23.8,1422,0,.6,94.1,14.2,.6,,,
90,속초,2020-07-29,21.3,20.2,426,23.5,1316,2.9,.7,95.5,14.2,.7,,,
90,속초,2020-07-30,22.7,20.9,421,25.3,1234,0,.9,91,14.2,2.8,,,
90,속초,2020-07-31,27.6,21.5,17,33.3,1331,,1.2,70.4,14.2,11.4,,,
90,속초,2020-08-01,26.3,23.1,2354,29.6,1045,4.1,.7,79.1,14.1,1.5,,,
90,속초,2020-08-02,24,22.8,49,28.7,1920,5.2,.9,92.5,14.1,4.1,,,
90,속초,2020-08-03,26.8,23.2,509,31.1,1559,9.4,1.6,76.3,14.1,0,,,
90,속초,2020-08-04,24.4,22.4,1401,29.6,358,88.3,1.5,88.3,14,0,,,
90,속초,2020-08-05,21.5,20.6,1240,23.2,15,127.9,1,97.9,14,0,,,
90,속초,2020-08-06,22.6,20.7,324,26,1707,17.1,2.2,91.9,14,1.3,,,
90,속초,2020-08-07,24.2,21,2356,28.3,1106,0,.7,83.1,13.9,.4,,,
90,속초,2020-08-08,22.2,20.8,51,23.8,1400,7.2,1.2,92,13.9,0,,,
90,속초,2020-08-09,22.9,20.6,652,28.6,1758,19.4,1.2,90.4,13.9,0,,,
90,속초,2020-08-10,25,22.9,2326,30.2,420,6.9,1.7,85.4,13.8,2.4,,,
90,속초,2020-08-11,25.6,21.2,737,31.2,1641,36.5,1.1,81.9,13.8,4.6,,,
90,속초,2020-08-12,28.2,22.9,545,32.4,1325,,1,68.6,13.8,9.6,,,
90,속초,2020-08-13,28.9,24.8,522,34.9,1220,,1,70.9,13.7,4.8,,,
90,속초,2020-08-14,31,29.1,38,32.9,1005,3.9,2.1,60.3,13.7,.9,,,
90,속초,2020-08-15,29.7,25,937,33.3,1412,.3,1.7,66.8,13.7,1.3,,,
90,속초,2020-08-16,28.9,25,1916,32,1509,,1.4,66.3,13.6,.5,,,
90,속초,2020-08-17,29.3,25.3,2339,33.1,1222,,1.7,69.3,13.6,11.4,,,
90,속초,2020-08-18,28.6,24.3,601,33,1040,,1.4,70.9,13.6,12.8,,,
90,속초,2020-08-19,29.5,23.3,347,35.1,1301,,1.7,58.8,13.5,12.8,,,
90,속초,2020-08-20,24.4,21.6,2022,29.7,1,11.9,1.7,86.6,13.5,5.4,,,
90,속초,2020-08-21,21.2,20,1057,22.5,111,26.7,1.5,94.8,13.4,.1,,,
90,속초,2020-08-22,22.1,20.3,144,25.1,1343,21.2,1,94.3,13.4,.2,,,
90,속초,2020-08-23,23.6,19.6,603,27.7,1530,.1,1.6,86.9,13.4,11.3,,,
90,속초,2020-08-24,24.7,20.4,125,28.5,1420,,.9,84.6,13.3,9.3,,,
90,속초,2020-08-25,27.3,23.2,228,32.2,1602,,1.4,79.1,13.3,11.1,,,
90,속초,2020-08-26,25.8,23.5,434,28.9,1032,2.4,1.3,88.4,13.2,5.6,,,
90,속초,2020-08-27,27.3,25.1,523,32.4,1339,2,3,82.6,13.2,4,,,
90,속초,2020-08-28,27.1,25.3,530,31.6,1456,0,1,84.4,13.2,5.5,,,
90,속초,2020-08-29,26.9,24.6,2138,31.1,1018,6.5,1.3,86.1,13.1,7.5,,,
90,속초,2020-08-30,23.4,22.3,1844,25.6,42,13.3,2.2,93.8,13.1,0,,,
90,속초,2020-08-31,22.8,21.2,2059,24.6,1221,1,1.8,86.6,13.1,0,,,
90,속초,2020-09-01,24,20.3,604,27.1,1323,.7,1.9,85.3,13,5.6,,,
90,속초,2020-09-02,23,21.7,1626,23.6,2343,147.1,1.9,97.4,13,0,,,
90,속초,2020-09-03,25.3,22.3,2352,28.7,1549,64.4,3.8,68.6,12.9,5.8,,,
90,속초,2020-09-04,23.7,18.5,2304,28.3,1705,,1.4,55.8,12.9,10.7,,,
90,속초,2020-09-05,20.7,17.1,212,23.7,1607,,.8,78.3,12.8,.4,,,
90,속초,2020-09-06,18.3,16,2153,22.6,1008,31.1,1.1,88.5,12.8,0,,,
90,속초,2020-09-07,21.3,15.3,211,26.2,1622,192.5,4.1,83.1,12.8,.6,,,
90,속초,2020-09-08,25.1,22.5,2338,27.3,1407,0,3.6,49.9,12.7,4.6,,,
90,속초,2020-09-09,22.6,19.5,2102,26.5,1504,.1,1.3,65.3,12.7,2.7,,,
90,속초,2020-09-10,22.3,18.5,344,28.1,1246,,1.5,69,12.7,8.3,,,
90,속초,2020-09-11,20.2,18.3,455,23.1,1346,3,1.9,84.8,12.6,.9,,,
90,속초,2020-09-12,18.5,16.4,2358,20.1,1145,13.3,4.8,92.3,12.6,0,,,
90,속초,2020-09-13,17.4,15.4,821,20.6,1439,9.8,1.9,89.5,12.5,2.1,,,
90,속초,2020-09-14,20.1,14.7,501,27.9,1401,,.9,82.8,12.5,10.3,,,
90,속초,2020-09-15,20.8,17.4,115,24.5,1110,,1.4,87,12.5,9.5,,,
90,속초,2020-09-16,20.7,18.4,254,24.4,1004,.5,.9,89.1,12.4,1.9,,,
90,속초,2020-09-17,21.3,18.8,17,24,1412,,1.9,59,12.4,.6,,,
90,속초,2020-09-18,21.6,19,2257,26.6,1348,,2.4,47,12.3,8,,,
90,속초,2020-09-19,21.9,17.4,153,26.8,1455,,1.7,41,12.3,10.9,,,
90,속초,2020-09-20,18.5,13.9,2326,22.5,1000,,2.2,57.1,12.2,11.4,,,
90,속초,2020-09-21,17.2,13.8,455,21.7,1242,,2.1,64.6,12.2,11.3,,,
90,속초,2020-09-22,16.8,13.1,122,21.3,1316,0,1.7,76.4,12.2,6.5,,,
90,속초,2020-09-23,17.3,13.3,205,20.9,1348,.7,2.2,78,12.1,3.5,,,
90,속초,2020-09-24,18.3,15.3,520,20.2,1321,5.6,4,84,12.1,2.1,,,
90,속초,2020-09-25,18.3,16.6,2241,19.8,1226,3.1,4,83.5,12,1,,,
90,속초,2020-09-26,17.6,15.9,1737,19.9,1216,6.4,3.1,82.8,12,2.8,,,
90,속초,2020-09-27,17,13,2351,20.9,1209,1.8,1.3,82.4,12,10.1,,,
90,속초,2020-09-28,17,12.1,556,21.9,1355,,1.8,80.8,11.9,11.1,,,
90,속초,2020-09-29,18.3,13.5,409,23.7,1212,,1.1,72.5,11.9,8.2,,,
90,속초,2020-09-30,16.8,14.7,2328,20,1228,2.7,2.6,83.4,11.8,1.6,,,
93,북춘천,2020-05-01,20.4,12.6,517,28,1542,,2.1,69.8,13.8,7.7,1200,3.26,21.84
93,북춘천,2020-05-02,19.5,14.8,2312,23.6,1653,,1.3,83.5,13.8,0,1100,1.13,7.1
93,북춘천,2020-05-03,20.8,15.2,520,27.4,1449,,1.3,72.6,13.9,8.2,1300,3.04,22.23
93,북춘천,2020-05-04,21.1,14.8,318,28.9,1530,,1.9,65.5,13.9,10.4,1300,3.32,24.82
93,북춘천,2020-05-05,16.1,10.8,2400,21.7,1311,,1.5,73.4,13.9,6.3,900,1.9,15.05
93,북춘천,2020-05-06,18.4,7.8,550,27.7,1621,,1.4,49.8,13.9,12.4,1200,3.52,28.41
93,북춘천,2020-05-07,18.6,9,546,25.8,1423,,1.2,37.8,14,9.7,1000,2.82,22.51
93,북춘천,2020-05-08,18.3,10.8,605,27.6,1521,6.4,1.4,49.4,14,7.6,1200,3.6,23.51
93,북춘천,2020-05-09,14.2,11.7,543,16,1306,40.5,1.1,96.3,14,0,1300,.58,3.22
93,북춘천,2020-05-10,15.7,13.2,451,19,1440,0,2.4,84.6,14.1,2,1300,1.95,9.63
93,북춘천,2020-05-11,17,12.3,334,23.3,1459,0,3,55.1,14.1,10,1100,3.23,25.57
93,북춘천,2020-05-12,12.8,8.6,546,19.1,1609,1.3,1.6,80.5,14.1,3.7,1500,2.56,9.55
93,북춘천,2020-05-13,15,5.6,549,24,1536,,2.8,52.9,14.2,12.7,1200,3.53,29.06
93,북춘천,2020-05-14,16.6,7.9,426,24.7,1450,,1.1,52.3,14.2,5.8,1200,3.08,19.61
93,북춘천,2020-05-15,14.7,13.1,659,17.8,331,10.5,1,89.8,14.2,0,1400,.9,4.6
93,북춘천,2020-05-16,17.6,14,233,23.2,1712,1.2,.7,88,14.3,3.8,1500,2.08,14.22
93,북춘천,2020-05-17,20.6,16.3,409,26.2,1620,,1.2,79.4,14.3,6.8,1100,2.91,20.87
93,북춘천,2020-05-18,19.3,15.3,2348,26.4,1340,26.4,2.2,78.8,14.3,3.8,1400,2.86,15.66
93,북춘천,2020-05-19,11.7,6.9,2358,15.8,1,16.5,1.9,81.9,14.3,1.9,1700,1.24,9.2
93,북춘천,2020-05-20,11.5,5.4,506,16.1,1701,,1.1,77.1,14.4,2.1,1100,1.66,13.92
93,북춘천,2020-05-21,15,6.8,456,21.8,1514,,1.1,70.6,14.4,9.6,1100,3.16,25.83
93,북춘천,2020-05-22,16.9,12.1,507,22.2,1542,0,1,79.3,14.4,1.5,1000,2.12,14.57
93,북춘천,2020-05-23,19.3,14.3,105,25.2,1453,.5,1.2,74,14.4,6.1,1200,3.59,21.73
93,북춘천,2020-05-24,18.6,15.1,2352,22.6,1616,16.5,2.2,83.1,14.5,4,1200,3.58,16.43
93,북춘천,2020-05-25,17.5,13.2,341,22.5,1533,,1.4,84.5,14.5,5.4,1300,2.47,18.14
93,북춘천,2020-05-26,16.9,12.8,2355,23.7,1420,2.4,.9,82.6,14.5,2.7,1200,2.98,14.35
93,북춘천,2020-05-27,17,10.2,514,24.8,1657,,1.5,70.6,14.5,10.8,1200,3.63,28.47
93,북춘천,2020-05-28,17.4,11.8,340,23.5,1441,,.9,70.6,14.6,5.4,1000,2.92,19.42
93,북춘천,2020-05-29,19.3,10.6,459,28.4,1543,,1.1,65.6,14.6,12.9,1200,3.59,30.07
93,북춘천,2020-05-30,20.7,11.4,511,29.8,1603,,1,59.5,14.6,13.1,1200,3.57,30.37
93,북춘천,2020-05-31,21.3,13.3,519,28.7,1513,0,1.6,64.1,14.6,7.3,1300,3.34,23.27
93,북춘천,2020-06-01,21,15.8,2400,26.6,1515,0,3.6,58.1,14.6,12.3,1200,3.77,31.44
93,북춘천,2020-06-02,17,13.7,607,21.3,1619,.3,.9,75.1,14.6,1.1,1300,2.54,8.75
93,북춘천,2020-06-03,22,13.6,349,28.8,1604,,1.7,69.4,14.7,12.1,1200,3.57,29.14
93,북춘천,2020-06-04,23.2,16.9,515,29.2,1614,,2.5,74,14.7,8.2,1300,3.27,23.49
93,북춘천,2020-06-05,22.9,17.2,534,29.2,1626,,1.1,72,14.7,10.7,1200,3.31,27.16
93,북춘천,2020-06-06,23.7,15.7,534,31.2,1605,,1.2,62.6,14.7,11.8,1200,3.39,27.25
93,북춘천,2020-06-07,23.8,19.2,508,29.7,1558,,1.5,67.6,14.7,11.8,1200,3.49,28.58
93,북춘천,2020-06-08,24.8,17.8,502,32.4,1646,,1.1,72.9,14.7,10.8,1200,3.31,26.72
93,북춘천,2020-06-09,26,18.6,506,33.9,1546,,1.1,69.5,14.7,11.8,1200,3.42,27.01
93,북춘천,2020-06-10,25.6,19.8,504,32.4,1401,1.4,1.1,73.9,14.8,7.7,1200,3.4,22.04
93,북춘천,2020-06-11,26.4,21.6,439,32.9,1628,.1,1.2,69.6,14.8,10.1,1300,3.62,28.22
93,북춘천,2020-06-12,23.9,18.7,443,28.9,1402,,.9,72,14.8,3.5,900,2.27,15.73
93,북춘천,2020-06-13,26.1,17.9,545,33.9,1613,,1.2,61.3,14.8,11.5,1200,3.59,29.4
93,북춘천,2020-06-14,24.7,20.2,547,30.7,1424,2.1,2.3,71.9,14.8,5.7,1200,3.4,21.17
93,북춘천,2020-06-15,23.3,17.2,515,31.3,1521,,2.4,59.4,14.8,10,1200,3.56,27.44
93,북춘천,2020-06-16,22.4,14.8,508,29.7,1616,,1.1,65.5,14.8,9.2,1200,3.58,27.16
93,북춘천,2020-06-17,24.3,17,521,30.9,1550,,1.4,63.9,14.8,11,1300,3.49,27.79
93,북춘천,2020-06-18,22.7,18.6,530,27,1608,,1,68.6,14.8,.4,1100,1.53,13.66
93,북춘천,2020-06-19,22.7,18.7,402,28.4,1600,.1,1.5,71.4,14.8,5,1100,2.84,18.33
93,북춘천,2020-06-20,23.9,16.7,441,31.6,1452,,1.3,72.1,14.8,10.6,1200,3.49,27.87
93,북춘천,2020-06-21,25.6,18.2,548,33.5,1504,,1.1,64.8,14.8,13.2,1200,3.47,28.37
93,북춘천,2020-06-22,26.7,18,509,35.8,1629,,1.1,58.9,14.8,12.6,1200,3.53,29.62
93,북춘천,2020-06-23,26.5,19.8,459,33,1327,,1,63.5,14.8,6.5,1100,3.2,19.45
93,북춘천,2020-06-24,21.2,18.8,1429,24.7,1,45.1,1,90.1,14.8,0,800,.5,3.33
93,북춘천,2020-06-25,21.1,19,1,23.6,1606,9.6,.4,96.8,14.8,0,1100,1.22,6.54
93,북춘천,2020-06-26,22,19.7,408,25.6,1650,.8,2.3,85.1,14.8,1.4,1400,1.43,10.56
93,북춘천,2020-06-27,23.2,18.9,2355,29,1659,3,1.4,79,14.8,6.1,1100,2.76,20.23
93,북춘천,2020-06-28,22.8,17.6,248,30.5,1617,,1,80.5,14.8,8.1,1300,3.45,25.24
93,북춘천,2020-06-29,23,18.6,511,26.8,1247,1,1.5,84.3,14.8,1.9,900,1.65,10.99
93,북춘천,2020-06-30,21.1,17.3,2322,23.9,1032,15.6,3.4,75.6,14.8,.1,1000,1.73,7.74
93,북춘천,2020-07-01,19.8,16.4,424,25,1802,1,.8,87.4,14.8,5.1,1400,2.36,14.39
93,북춘천,2020-07-02,23.4,16.5,207,30.2,1614,,.8,76.8,14.7,9.5,1200,3.54,26.71
93,북춘천,2020-07-03,25.6,19.5,539,31.2,1434,,1.8,59.8,14.7,11.9,1200,3.55,28.66
93,북춘천,2020-07-04,23.6,18.7,607,30.2,1545,0,1,61.4,14.7,10.4,1200,3.51,29.13
93,북춘천,2020-07-05,23.1,17.2,526,29.3,1428,,1.1,73.3,14.7,12.9,1300,3.58,28.55
93,북춘천,2020-07-06,25,18.7,502,31.1,1701,,.9,71.6,14.7,10.7,1100,3.33,26.21
93,북춘천,2020-07-07,24.1,20,2348,28.1,1721,,1.6,79.3,14.7,2.6,1300,2.07,15.18
93,북춘천,2020-07-08,24.9,17.8,521,31.2,1729,,1,73.5,14.7,11.3,1200,3.53,26.58
93,북춘천,2020-07-09,26.1,19.8,524,32.4,1615,,1.1,71.8,14.7,8.7,1100,3.2,23.59
93,북춘천,2020-07-10,23,20.7,356,24.7,925,3.1,1.7,83,14.6,1.6,1600,1.51,7.45
93,북춘천,2020-07-11,23.4,18.7,2343,27.2,1509,,2,72,14.6,1,1200,2.02,14.23
93,북춘천,2020-07-12,21.8,16.1,517,25,1712,.3,1.1,71.1,14.6,2,1100,1.77,11.37
93,북춘천,2020-07-13,20,17.9,2025,22.1,1325,16.9,2.6,81.3,14.6,0,1100,.97,5.44
93,북춘천,2020-07-14,19.9,16.3,341,23.8,1610,30.7,1.5,78.8,14.6,.1,1200,1.46,11.49
93,북춘천,2020-07-15,21.2,16.6,332,27.9,1657,.3,.8,78.9,14.5,7.4,1300,3.54,21.73
93,북춘천,2020-07-16,22.7,16.7,415,30.3,1544,.1,.9,86.1,14.5,6.7,1300,3.49,23.81
93,북춘천,2020-07-17,24.8,20,350,32.7,1448,.4,.9,84,14.5,7.7,1300,3.38,23.89
93,북춘천,2020-07-18,25,20.6,240,31.2,1542,0,.8,80.3,14.5,6.1,1200,2.93,21.11
93,북춘천,2020-07-19,21.5,19.7,525,22.9,3,11,.5,94.4,14.5,.3,1400,.73,4.92
93,북춘천,2020-07-20,23.6,21.4,2346,26.9,835,.7,1.6,92.5,14.4,0,1300,1.05,5.23
93,북춘천,2020-07-21,25.1,19.9,555,31.1,1525,,.8,78.1,14.4,8.3,1100,3.56,25.95
93,북춘천,2020-07-22,23.3,20.4,306,27.7,1521,17.9,.7,92.4,14.4,.1,1000,1.4,9.89
93,북춘천,2020-07-23,21.6,19.3,2147,24.7,1157,60.9,1.9,89.8,14.4,0,1000,.68,4.01
93,북춘천,2020-07-24,22.8,18.4,43,25.8,1508,13.3,3.6,74,14.3,.6,1300,1.95,11.29
93,북춘천,2020-07-25,24,20.3,2359,27.4,1311,.9,2.6,72.8,14.3,.6,1300,1.98,13.51
93,북춘천,2020-07-26,24,19.5,302,29.6,1430,.1,1.2,78.9,14.3,2.6,1200,3.24,17.64
93,북춘천,2020-07-27,22.3,21.2,557,23.8,1539,7.8,.5,97,14.3,0,1300,1.11,5.77
93,북춘천,2020-07-28,23.3,20,541,27.1,1348,.6,.6,92,14.2,.6,1200,1.69,11.51
93,북춘천,2020-07-29,22.6,21.3,739,23.7,1235,17.5,.6,97.9,14.2,0,1100,.83,4.52
93,북춘천,2020-07-30,25.2,22.1,2348,30.2,1525,,1.4,88.1,14.2,4.9,1200,3.24,17.98
93,북춘천,2020-07-31,25.4,20.5,517,30.7,1313,.1,1,87,14.1,6.7,1100,3.3,19.62
93,북춘천,2020-08-01,24.2,22.9,459,25.9,1240,24.1,.6,96.4,14.1,.1,1100,1.34,5.59
93,북춘천,2020-08-02,24.2,23.1,2019,26.8,1222,55,.8,97.1,14.1,.5,700,.84,4.94
93,북춘천,2020-08-03,23.4,22.3,1320,24.5,801,188.5,1,98.4,14,0,1400,.46,1.91
93,북춘천,2020-08-04,24.5,22.7,156,29.1,1553,146.9,1.1,98,14,.3,1500,1.38,5.03
93,북춘천,2020-08-05,24.4,23.1,2050,26.3,1724,64.7,.8,98.4,14,0,1300,.55,2.28
93,북춘천,2020-08-06,24.3,21.6,2242,27.8,1553,85.7,1.6,94.8,13.9,1.3,1500,1.35,6.09
93,북춘천,2020-08-07,23.2,20.9,2341,27.1,1332,.2,.5,94.6,13.9,.7,1300,1.65,8.75
93,북춘천,2020-08-08,24.3,20.7,228,28.9,1254,30.5,1.2,86,13.9,3.7,900,1.91,13.23
93,북춘천,2020-08-09,23.2,21.6,39,24.7,1532,64.8,.7,99,13.8,0,1100,.25,1.55
93,북춘천,2020-08-10,25.5,23.1,1,29.8,1137,5.8,.7,95,13.8,0,1100,1.48,7.56
93,북춘천,2020-08-11,24.4,22.5,800,27.5,1545,67.8,.7,96.8,13.8,.3,1200,1.19,6.68
93,북춘천,2020-08-12,26.5,21.9,453,31,1432,,.7,86.6,13.7,4.8,1400,2.37,17.41
93,북춘천,2020-08-13,26.6,23.5,416,30.8,1151,.4,.7,92.3,13.7,.9,1100,2.45,8.92
93,북춘천,2020-08-14,27.3,25.5,1,30.3,1433,.9,1.4,89.5,13.7,.8,1400,1.92,6.3
93,북춘천,2020-08-15,26.1,24.5,2230,28,1338,12.2,.9,95.8,13.6,0,1200,.9,5.65
