지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2)
90,속초,2020-05-01,25.5,18.2,616,32.4,1551,,2.8,42.4,13.8,12.5,,,
90,속초,2020-05-02,24.8,20.6,802,28.6,1419,,2.6,49,13.8,9.5,,,
90,속초,2020-05-03,20.8,14.6,2338,26.8,1018,,1.7,62.9,13.9,9.5,,,
90,속초,2020-05-04,15.3,12.8,2058,28,1131,,1.8,81.9,13.9,4,,,
90,속초,2020-05-05,15,12.2,2142,17.4,932,,2.2,75,13.9,5.1,,,
90,속초,2020-05-06,15.6,11.4,514,19.5,1037,,2.4,78.8,14,12.7,,,
90,속초,2020-05-07,14.7,8.9,447,18.7,1219,,2,76.3,14,7.6,,,
90,속초,2020-05-08,14.8,10.1,500,19.4,1106,3.2,1.7,81.1,14,8.3,,,
90,속초,2020-05-09,13.7,11.7,551,15.7,1639,42.8,1.6,95.8,14.1,0,,,
90,속초,2020-05-10,19,14,332,24.1,1115,,2.1,63.4,14.1,8.7,,,
90,속초,2020-05-11,20.4,16.4,544,25.2,1605,,4.3,32.3,14.1,11.8,,,
90,속초,2020-05-12,17.2,13.5,257,21.1,1651,0,3.1,45.6,14.2,10.1,,,
90,속초,2020-05-13,20.8,14.7,349,26.5,1553,,4,25.1,14.2,13.4,,,
90,속초,2020-05-14,23,19.3,2250,29.1,1432,,2,23.8,14.2,8.2,,,
90,속초,2020-05-15,16.1,14.1,1441,22.6,617,7.3,2.2,75.9,14.3,0,,,
90,속초,2020-05-16,15.2,14,140,16.4,1106,.5,1.6,91,14.3,0,,,
90,속초,2020-05-17,16.3,14.8,251,19.4,1215,.4,2.4,90.4,14.3,3.9,,,
90,속초,2020-05-18,14.8,13.7,2354,15.6,1139,30.3,3.5,97.5,14.4,0,,,
90,속초,2020-05-19,10.3,7.8,2040,13.8,1,140,4.4,94,14.4,0,,,
90,속초,2020-05-20,10.6,8.3,11,14.4,1509,12.4,2.4,82.9,14.4,2,,,
90,속초,2020-05-21,13.2,9.3,419,16.9,1052,,2,73.8,14.4,5.3,,,
90,속초,2020-05-22,13.2,12,427,14.9,1239,.2,2.6,84.8,14.4,0,,,
90,속초,2020-05-23,14.5,11.7,514,18,1122,0,1.2,88.5,14.5,9.4,,,
90,속초,2020-05-24,17.3,13.9,15,23,1815,4.5,1.5,78.5,14.5,5.7,,,
90,속초,2020-05-25,21.2,16.3,520,24.7,1431,,1.7,57.9,14.5,10.7,,,
90,속초,2020-05-26,17.4,13.4,2400,24.6,1137,3.5,1.2,70.1,14.5,5.3,,,
90,속초,2020-05-27,19.1,12.9,36,23.8,1706,,1.5,53.3,14.6,13.5,,,
90,속초,2020-05-28,18.1,14.3,2313,22.8,1252,0,1.2,67.6,14.6,5.9,,,
90,속초,2020-05-29,17.9,13.1,515,22.5,1314,,1.4,69.3,14.6,14,,,
90,속초,2020-05-30,17.5,11.1,500,22.3,1334,,1.8,74.4,14.6,14,,,
90,속초,2020-05-31,17.7,12.9,137,21.1,1223,0,1.4,84.1,14.6,7.4,,,
90,속초,2020-06-01,23.9,17.3,11,28.5,1618,,2.8,40.8,14.7,12.7,,,
90,속초,2020-06-02,19.3,13.9,2342,25.1,1500,0,1.9,56.5,14.7,2,,,
90,속초,2020-06-03,22.6,13.9,2,27.9,2019,,3,58.4,14.7,13.4,,,
90,속초,2020-06-04,25.9,20.6,405,31.4,1703,,2.5,51,14.7,13.1,,,
90,속초,2020-06-05,18.9,17,354,24.4,10,,2.8,82.5,14.7,11.5,,,
90,속초,2020-06-06,18.4,15.5,303,21.8,1557,,1.5,86,14.7,7.7,,,
90,속초,2020-06-07,19.7,16.7,243,23.4,1331,,1.8,78.4,14.7,12.5,,,
90,속초,2020-06-08,22.8,16.7,440,29.4,1428,,1.9,71.9,14.8,13.3,,,
90,속초,2020-06-09,25,20.4,2102,32,1351,,1.3,67.6,14.8,11.7,,,
90,속초,2020-06-10,24.2,19.6,514,29.6,1159,0,1.7,73.5,14.8,5.7,,,
90,속초,2020-06-11,24.7,21.9,318,29.1,1158,0,1.8,70.1,14.8,11.1,,,
90,속초,2020-06-12,20.4,19.3,445,22.3,37,,1.1,90.6,14.8,1,,,
90,속초,2020-06-13,23.5,19.2,322,29.5,1455,,1.8,73.3,14.8,11.6,,,
90,속초,2020-06-14,27.3,20.4,321,33.2,1538,.5,2.3,56.4,14.8,7.8,,,
90,속초,2020-06-15,28.4,23.5,356,33,1423,,3.4,35.5,14.8,14,,,
