본부,지사,정전건수,일시건수,정전호수,평균지속h,key
광주전남본부,구례지사,20,4,3261.0,0.3430694444444444,전라남도 구례군
광주전남본부,나주지사,210,40,18597.0,0.27437698412698414,전라남도 나주시
광주전남본부,담양지사,53,19,12268.0,0.352751572327044,전라남도 담양군
광주전남본부,목포지사,89,23,10645.0,0.2811204744069912,전라남도 목포시
광주전남본부,무안지사,135,34,18364.0,0.6813024691358024,전라남도 무안군
광주전남본부,보성지사,99,18,10426.0,0.275530303030303,전라남도 보성군
광주전남본부,서광주지사,127,43,12681.0,0.5250940507436571,
광주전남본부,순천지사,143,39,23325.0,0.4388888888888889,전라남도 순천시
광주전남본부,신안지사,47,16,7026.0,1.1573404255319149,전라남도 신안군
광주전남본부,여수지사,159,37,26652.0,0.40813766596785467,전라남도 여수시
광주전남본부,영광지사,105,22,15070.0,0.31882539682539685,전라남도 영광군
광주전남본부,영암지사,150,30,10306.0,0.4019185185185185,전라남도 영암군
광주전남본부,완도지사,58,17,14870.0,0.5144588122605364,전라남도 완도군
광주전남본부,장성지사,49,16,6721.0,0.5808106575963718,전라남도 장성군
광주전남본부,장흥지사,40,6,2004.0,0.23256944444444444,전라남도 장흥군
광주전남본부,진도지사,76,16,8010.0,0.40179824561403504,전라남도 진도군
광주전남본부,함평지사,82,18,9197.0,0.30556233062330623,전라남도 함평군
광주전남본부,해남지사,169,42,23297.0,0.40170775805391185,전라남도 해남군
광주전남본부,화순지사,51,12,4107.0,0.29497821350762526,전라남도 화순군
남서울본부,강남지사,199,58,21916.0,0.555143774427694,서울특별시 강남구
남서울본부,강동송파지사,141,46,12987.0,0.4374980299448385,
남서울본부,강서양천지사,132,20,9111.0,0.26986531986531986,
남서울본부,관악동작지사,128,31,24131.0,0.4200542534722222,
남서울본부,구로금천지사,113,19,9081.0,0.29314159292035397,
남서울본부,남서울본부직할,92,12,6376.0,0.23477958937198068,
남서울본부,서초지사,188,42,19575.0,0.39892582742316784,서울특별시 서초구
대구본부,경산지사,112,17,10129.0,0.23021577380952382,경상북도 경산시
대구본부,경주지사,301,51,32149.0,0.2885492801771872,경상북도 경주시
대구본부,고령지사,58,5,2111.0,0.16625957854406131,경상북도 고령군
대구본부,김천지사,65,20,11134.0,0.3581837606837607,경상북도 김천시
대구본부,남대구지사,153,31,12981.0,0.3246060275962237,
대구본부,대구본부직할,124,28,9138.0,0.22789426523297493,
대구본부,동대구지사,120,40,14810.0,0.3838402777777778,
대구본부,북포항지사,58,14,5332.0,0.3712404214559387,경상북도 포항시
대구본부,서대구지사,95,18,10020.0,0.19283040935672516,
대구본부,성주지사,63,19,7370.0,0.26476190476190475,경상북도 성주군
대구본부,영덕지사,35,16,9100.0,0.6208174603174603,경상북도 영덕군
대구본부,영천지사,74,18,10535.0,0.3490990990990991,경상북도 영천시
대구본부,청도지사,27,3,2282.0,0.19112139917695473,경상북도 청도군
대구본부,칠곡지사,65,9,5604.0,0.1924871794871795,경상북도 칠곡군
대구본부,포항지사,156,27,12825.0,0.2342289886039886,경상북도 포항시
대전세종충남본부,공주지사,68,21,12639.0,0.440359477124183,충청남도 공주시
대전세종충남본부,공주청양지사,24,4,1854.0,0.3666319444444444,
대전세종충남본부,금산지사,58,7,3427.0,0.19989463601532567,충청남도 금산군
대전세종충남본부,논산지사,66,10,4707.0,0.24015993265993266,충청남도 논산시
대전세종충남본부,당진지사,144,27,11180.0,0.2844328703703704,충청남도 당진시
대전세종충남본부,대덕유성지사,201,41,10888.0,0.31434494195688223,
대전세종충남본부,대전세종충남본부직할,90,19,7495.0,0.3276327160493827,
대전세종충남본부,보령지사,91,26,12118.0,0.4978724053724054,충청남도 보령시
대전세종충남본부,부여지사,81,15,5752.0,0.2712037037037037,충청남도 부여군
대전세종충남본부,서대전지사,99,26,6554.0,0.3072502805836139,
대전세종충남본부,서산지사,138,22,9958.0,0.2957206119162641,충청남도 서산시
대전세종충남본부,서천지사,72,11,4790.0,0.1921219135802469,충청남도 서천군
대전세종충남본부,세종지사,140,27,8596.0,0.40016468253968257,세종특별자치시 세종특별자치시
대전세종충남본부,아산지사,187,42,15027.0,0.4485398098633393,충청남도 아산시
대전세종충남본부,예산지사,117,8,3871.0,0.17870132953466286,충청남도 예산군
대전세종충남본부,천안지사,314,56,32349.0,0.47726733899504603,충청남도 천안시
대전세종충남본부,청양지사,48,8,6791.0,0.22892361111111112,충청남도 청양군
대전세종충남본부,태안지사,130,29,22429.0,0.3683034188034188,충청남도 태안군
대전세종충남본부,홍성지사,120,26,10702.0,0.43223842592592593,충청남도 홍성군
부산울산본부,기장지사,74,17,7051.0,0.3130442942942943,부산광역시 기장군
부산울산본부,김해지사,406,63,19856.0,0.25095443349753693,경상남도 김해시
부산울산본부,남부산지사,159,46,18015.0,0.468570929419986,
부산울산본부,동래지사,198,18,12477.0,0.14667789001122333,부산광역시 동래구
부산울산본부,동울산지사,69,16,5102.0,0.4026892109500805,
부산울산본부,부산울산본부직할,133,32,14299.0,0.3511215538847118,
부산울산본부,북부산지사,157,12,4460.0,0.1130449398443029,
부산울산본부,서부산지사,188,24,4228.0,0.19707151300236408,
부산울산본부,서울산지사,80,17,7742.0,0.3857777777777778,
