시군구,발생,사망,중증,고령,작업장,중증률,n
강원특별자치도 강릉시,113,2,3,0.2831858407079646,0.2831858407079646,2.6548672566371683,113
강원특별자치도 고성군,9,1,1,0.3333333333333333,0.1111111111111111,11.11111111111111,9
강원특별자치도 동해시,35,0,1,0.3142857142857143,0.37142857142857144,2.857142857142857,35
강원특별자치도 삼척시,25,1,1,0.28,0.2,4.0,25
강원특별자치도 속초시,32,0,2,0.1875,0.125,6.25,32
강원특별자치도 양구군,21,0,1,0.38095238095238093,0.23809523809523808,4.761904761904762,21
강원특별자치도 양양군,15,0,2,0.5333333333333333,0.2,13.333333333333334,15
강원특별자치도 영월군,16,0,0,0.3125,0.5,0.0,16
강원특별자치도 원주시,58,1,3,0.39655172413793105,0.4482758620689655,5.172413793103448,58
강원특별자치도 인제군,10,1,1,0.3,0.3,10.0,10
강원특별자치도 정선군,18,1,1,0.16666666666666666,0.16666666666666666,5.555555555555555,18
강원특별자치도 철원군,64,0,2,0.203125,0.15625,3.125,64
강원특별자치도 춘천시,79,0,5,0.26582278481012656,0.2911392405063291,6.329113924050633,79
강원특별자치도 태백시,17,0,0,0.17647058823529413,0.11764705882352941,0.0,17
강원특별자치도 평창군,17,0,0,0.17647058823529413,0.17647058823529413,0.0,17
강원특별자치도 홍천군,24,0,1,0.5,0.25,4.166666666666666,24
강원특별자치도 화천군,12,0,0,0.5,0.5,0.0,12
강원특별자치도 횡성군,38,0,1,0.34210526315789475,0.34210526315789475,2.631578947368421,38
경기도 가평군,58,0,4,0.25862068965517243,0.39655172413793105,6.896551724137931,58
경기도 고양시 덕양구,101,0,10,0.25742574257425743,0.5346534653465347,9.900990099009901,101
경기도 고양시 일산동구,22,0,2,0.13636363636363635,0.36363636363636365,9.090909090909092,22
경기도 고양시 일산서구,9,0,1,0.5555555555555556,0.3333333333333333,11.11111111111111,9
경기도 과천시,17,0,1,0.17647058823529413,0.11764705882352941,5.88235294117647,17
경기도 광명시,68,0,2,0.3235294117647059,0.27941176470588236,2.941176470588235,68
경기도 광주시,154,0,6,0.18831168831168832,0.564935064935065,3.896103896103896,154
경기도 구리시,30,0,1,0.3333333333333333,0.5333333333333333,3.3333333333333335,30
경기도 군포시,20,0,4,0.15,0.5,20.0,20
경기도 김포시,51,0,7,0.19607843137254902,0.5490196078431373,13.725490196078432,51
경기도 남양주시,151,0,10,0.24503311258278146,0.4503311258278146,6.622516556291391,151
경기도 동두천시,87,0,3,0.28735632183908044,0.367816091954023,3.4482758620689653,87
경기도 부천시,124,2,7,0.27419354838709675,0.4435483870967742,5.64516129032258,124
경기도 성남시,1,0,0,0.0,1.0,0.0,1
경기도 성남시 분당구,33,1,1,0.24242424242424243,0.36363636363636365,3.0303030303030303,33
경기도 성남시 수정구,65,0,4,0.35384615384615387,0.26153846153846155,6.153846153846154,65
경기도 성남시 중원구,46,0,5,0.21739130434782608,0.34782608695652173,10.869565217391305,46
경기도 수원시 권선구,56,0,4,0.23214285714285715,0.4107142857142857,7.142857142857142,56
경기도 수원시 영통구,21,0,2,0.14285714285714285,0.47619047619047616,9.523809523809524,21
경기도 수원시 장안구,45,0,3,0.3111111111111111,0.4888888888888889,6.666666666666667,45
경기도 수원시 팔달구,39,0,2,0.3333333333333333,0.5641025641025641,5.128205128205128,39
경기도 시흥시,102,0,6,0.19607843137254902,0.6274509803921569,5.88235294117647,102
경기도 안산시,1,0,0,0.0,0.0,0.0,1
경기도 안산시 단원구,83,0,8,0.18072289156626506,0.4939759036144578,9.63855421686747,83
경기도 안산시 상록구,51,0,2,0.29411764705882354,0.4117647058823529,3.9215686274509802,51
경기도 안성시,98,0,1,0.2755102040816326,0.37755102040816324,1.0204081632653061,98
경기도 안양시 동안구,32,0,4,0.21875,0.40625,12.5,32
경기도 안양시 만안구,32,0,3,0.34375,0.40625,9.375,32
경기도 양주시,116,1,6,0.25862068965517243,0.47413793103448276,5.172413793103448,116
경기도 양평군,34,0,2,0.3235294117647059,0.47058823529411764,5.88235294117647,34
경기도 여주시,68,1,2,0.2647058823529412,0.38235294117647056,2.941176470588235,68
경기도 연천군,45,0,3,0.28888888888888886,0.24444444444444444,6.666666666666667,45
경기도 오산시,46,0,1,0.13043478260869565,0.6304347826086957,2.1739130434782608,46
경기도 용인시 기흥구,32,0,3,0.1875,0.53125,9.375,32
경기도 용인시 수지구,19,0,2,0.21052631578947367,0.2631578947368421,10.526315789473683,19
경기도 용인시 처인구,102,0,6,0.22549019607843138,0.5392156862745098,5.88235294117647,102
경기도 의왕시,21,0,2,0.2857142857142857,0.5238095238095238,9.523809523809524,21
경기도 의정부시,130,1,8,0.38461538461538464,0.4,6.153846153846154,130
경기도 이천시,134,1,9,0.22388059701492538,0.5,6.7164179104477615,134
경기도 파주시,222,3,4,0.23423423423423423,0.44144144144144143,1.8018018018018018,222
경기도 평택시,258,0,14,0.15891472868217055,0.6162790697674418,5.426356589147287,258
경기도 포천시,131,1,9,0.366412213740458,0.40458015267175573,6.870229007633588,131
경기도 하남시,36,0,6,0.1388888888888889,0.25,16.666666666666664,36
경기도 화성시,237,1,18,0.20675105485232068,0.540084388185654,7.59493670886076,237
경상남도 거제시,253,1,5,0.11857707509881422,0.8063241106719368,1.9762845849802373,253
경상남도 거창군,6,0,0,0.16666666666666666,0.3333333333333333,0.0,6
경상남도 고성군,31,0,2,0.2903225806451613,0.45161290322580644,6.451612903225806,31
경상남도 김해시,205,0,7,0.1951219512195122,0.5024390243902439,3.414634146341464,205
경상남도 남해군,21,3,3,0.47619047619047616,0.19047619047619047,14.285714285714285,21
경상남도 밀양시,62,3,5,0.46774193548387094,0.24193548387096775,8.064516129032258,62
경상남도 사천시,47,0,0,0.3191489361702128,0.425531914893617,0.0,47
경상남도 산청군,44,0,2,0.45454545454545453,0.3181818181818182,4.545454545454546,44
경상남도 양산시,75,0,9,0.44,0.41333333333333333,12.0,75
경상남도 의령군,26,0,1,0.5384615384615384,0.15384615384615385,3.8461538461538463,26
경상남도 진주시,141,2,4,0.2978723404255319,0.40425531914893614,2.8368794326241136,141
경상남도 창녕군,30,4,9,0.5,0.36666666666666664,30.0,30
경상남도 창원시 마산합포구,75,1,4,0.4533333333333333,0.26666666666666666,5.333333333333334,75
경상남도 창원시 마산회원구,46,0,3,0.30434782608695654,0.3695652173913043,6.521739130434782,46
경상남도 창원시 성산구,43,0,1,0.2558139534883721,0.5116279069767442,2.3255813953488373,43
경상남도 창원시 의창구,48,0,4,0.3541666666666667,0.3541666666666667,8.333333333333332,48
경상남도 창원시 진해구,68,0,0,0.22058823529411764,0.45588235294117646,0.0,68
경상남도 통영시,41,1,2,0.3170731707317073,0.34146341463414637,4.878048780487805,41
경상남도 하동군,49,0,1,0.5918367346938775,0.1836734693877551,2.0408163265306123,49
경상남도 함안군,14,1,1,0.5,0.5,7.142857142857142,14
경상남도 함양군,29,2,2,0.3793103448275862,0.20689655172413793,6.896551724137931,29
경상남도 합천군,47,0,0,0.2978723404255319,0.3404255319148936,0.0,47
경상북도 경산시,30,1,3,0.43333333333333335,0.23333333333333334,10.0,30
경상북도 경주시,98,2,9,0.40816326530612246,0.336734693877551,9.183673469387756,98
경상북도 고령군,9,1,1,0.2222222222222222,0.5555555555555556,11.11111111111111,9
경상북도 구미시,213,1,11,0.2347417840375587,0.40375586854460094,5.164319248826291,213
경상북도 군위군,4,0,0,0.5,0.75,0.0,4
경상북도 김천시,76,0,3,0.4605263157894737,0.3157894736842105,3.9473684210526314,76
경상북도 문경시,69,2,7,0.4492753623188406,0.18840579710144928,10.144927536231885,69
경상북도 봉화군,29,2,2,0.4482758620689655,0.13793103448275862,6.896551724137931,29
