key,peak연도,peak대비%,전체산업Δ,중공업Δ,반도체Δ,25중공업비중%,25반도체비중%,26회복%,분류
인천광역시 연수구,2025,0.0,589,87,227,11.8,23.7,4.9,유지/증가
충청북도 진천군,2024,-0.2,262,87,-6,44.7,2.6,-1.6,유지/증가
경상남도 거제시,2024,-0.6,98,88,0,91.5,0.0,-6.5,유지/증가
충청남도 보령시,2024,-2.5,170,92,0,53.3,0.0,-13.1,유지/증가
충청남도 예산군,2025,0.0,134,99,-7,77.5,0.4,2.1,유지/증가
경상남도 밀양시,2025,0.0,166,105,2,69.4,2.5,6.8,유지/증가
부산광역시 강서구,2022,-1.2,138,139,6,88.9,1.8,0.3,유지/증가
전라남도 광양시,2022,-26.5,498,139,0,80.7,0.0,-31.3,기타 하락
세종특별자치시 세종시,2025,0.0,332,151,84,43.5,13.1,-0.2,유지/증가
울산광역시 동구,2025,0.0,162,159,0,97.0,0.0,0.0,유지/증가
경상북도 영주시,2022,-0.6,160,161,0,91.0,0.0,-1.0,유지/증가
충청남도 천안시,2025,0.0,893,192,662,33.3,43.5,0.6,유지/증가
전북특별자치도 군산시,2024,-0.1,300,237,31,76.0,0.8,5.5,유지/증가
대구광역시 달성군,2024,-0.1,582,260,135,54.1,7.4,6.9,유지/증가
경상북도 김천시,2024,-0.4,166,285,-11,62.5,4.5,-8.7,유지/증가
경상북도 경주시,2023,-2.6,226,290,4,69.2,0.2,-9.2,유지/증가
경상북도 포항시,2024,-8.7,834,303,7,86.7,0.3,-19.7,유지/증가
경상남도 함안군,2023,-0.6,300,305,11,79.4,1.3,0.9,유지/증가
경기도 화성시,2022,-3.0,509,357,-111,33.0,55.4,-1.4,유지/증가
충청남도 아산시,2020,-10.4,-1327,367,-1623,25.1,66.8,0.4,반도체(경기민감)
전라남도 여수시,2021,-4.5,465,425,1,94.8,0.0,-22.9,유지/증가
경기도 평택시,2025,0.0,9756,1096,8750,18.2,72.6,8.7,유지/증가
충청남도 서산시,2022,-7.3,1246,1583,5,95.1,0.1,-4.3,유지/증가
