지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2)
90,속초,2022-05-01,13.5,9,2127,21.1,1456,0,2.8,43.1,13.8,9.4,,,
90,속초,2022-05-02,10.5,5.8,2303,15.4,1540,0,1.9,61.6,13.8,11.5,,,
90,속초,2022-05-03,17.6,5.9,4,24.2,1428,,2.4,33.1,13.9,12,,,
90,속초,2022-05-04,23.9,19.4,13,29.1,1508,,4.1,25.4,13.9,12.7,,,
90,속초,2022-05-05,20.5,15.4,2148,24.9,1213,,2.3,41,13.9,12.7,,,
90,속초,2022-05-06,18.9,14.5,222,23.9,1149,,1.5,59.5,14,9.9,,,
90,속초,2022-05-07,13.5,9.5,2357,20.9,131,7.7,2.4,81.4,14,2.8,,,
90,속초,2022-05-08,12.5,7.7,507,15.7,954,0,1.6,72.6,14,1.8,,,
90,속초,2022-05-09,13.6,7.9,541,20,1055,,1.4,67.5,14.1,13.3,,,
90,속초,2022-05-10,13.5,7,512,19.2,1228,,2.3,65.3,14.1,11,,,
90,속초,2022-05-11,15.2,10.7,20,19.7,1256,0,1.6,77.9,14.1,11.1,,,
90,속초,2022-05-12,14,11.1,2259,18.1,816,,2.8,80,14.2,6.5,,,
90,속초,2022-05-13,12.1,7.8,2358,15.3,1104,0,1.7,81,14.2,0,,,
90,속초,2022-05-14,16,6.8,41,22.8,1426,,2.3,41,14.2,12.2,,,
90,속초,2022-05-15,15.4,9.6,357,19.7,1055,,2.3,41.9,14.3,13.5,,,
90,속초,2022-05-16,19.2,13.6,2400,26.4,1456,,3,37.8,14.3,11.9,,,
90,속초,2022-05-17,19.4,12.9,26,23.6,1119,0,2.1,50,14.3,11.1,,,
90,속초,2022-05-18,23.5,17,8,27.9,1524,0,2.3,35.6,14.3,7.3,,,
90,속초,2022-05-19,21.1,17.6,539,24,1951,,2.2,49.4,14.4,11.4,,,
90,속초,2022-05-20,23.1,20.1,640,27.6,1403,,1.8,33,14.4,10.3,,,
90,속초,2022-05-21,24.5,18.2,539,30.3,1354,,1.8,41.1,14.4,13.1,,,
90,속초,2022-05-22,20,14.9,2331,24.3,12,0,1.7,63.9,14.4,10.6,,,
90,속초,2022-05-23,18.6,14,543,23.9,1412,,1.9,76,14.5,13,,,
90,속초,2022-05-24,24.6,16.9,306,30.2,1602,,2,50.5,14.5,12.7,,,
90,속초,2022-05-25,22.4,17.5,2400,27.8,1229,0,2.1,52.8,14.5,9.9,,,
90,속초,2022-05-26,20.8,14.9,111,25.5,1311,1.4,2.6,42.5,14.5,13.2,,,
90,속초,2022-05-27,19.7,16.8,636,24.9,1457,0,2.5,54.1,14.5,9.7,,,
90,속초,2022-05-28,26.5,17.4,512,33.5,1334,,2.7,32.5,14.6,13.4,,,
90,속초,2022-05-29,22.5,16.9,2315,27.8,1258,,2.5,50.4,14.6,12,,,
90,속초,2022-05-30,16.9,16,2325,18.7,303,0,3,85.8,14.6,0,,,
90,속초,2022-05-31,20.9,12.8,323,26.8,1820,,2.1,51.3,14.6,12.7,,,
90,속초,2022-06-01,20.7,16.3,2334,24.2,923,,1.7,44.4,14.7,9.2,,,
90,속초,2022-06-02,21.3,16.1,419,27.2,1156,,1.8,57,14.7,13.2,,,
90,속초,2022-06-03,19.1,17,628,21.8,901,0,2.7,80.4,14.7,4.4,,,
90,속초,2022-06-04,18.7,17.3,718,22.1,1104,0,3.3,83,14.7,1.4,,,
90,속초,2022-06-05,17.5,16.5,2115,19,1309,14.1,3.4,91,14.7,0,,,
90,속초,2022-06-06,14.1,12.3,2005,16.9,1,75.4,4.3,93.6,14.7,0,,,
90,속초,2022-06-07,13.6,11.2,2351,14.9,810,2.8,2.1,87,14.7,.1,,,
90,속초,2022-06-08,15.8,10.1,513,20,1140,,1.6,75.5,14.8,13.4,,,
90,속초,2022-06-09,15.6,12.4,17,19.7,1102,.1,1,87.4,14.8,2.6,,,
90,속초,2022-06-10,17.8,13.1,348,23,1148,,1.1,85.8,14.8,11.5,,,
90,속초,2022-06-11,17.8,15.9,202,20.2,1509,,1.6,92,14.8,6.2,,,
90,속초,2022-06-12,18.7,16.4,401,22.9,1228,0,1.8,85.4,14.8,3,,,
90,속초,2022-06-13,18.4,16.4,18,21.3,830,0,1.7,86.1,14.8,2.4,,,
90,속초,2022-06-14,17.3,15.9,2321,20.1,754,0,1.7,80.9,14.8,1,,,
90,속초,2022-06-15,14.8,13.7,616,16.6,1338,9.2,1.6,89.5,14.8,0,,,
90,속초,2022-06-16,18.7,13.8,521,23,2223,5.4,1.5,81.4,14.8,11.5,,,
90,속초,2022-06-17,23.6,19.5,610,31,1423,,2.1,60.8,14.8,13.9,,,
90,속초,2022-06-18,24.6,20.5,2025,28.9,1350,.1,1.7,67,14.8,11,,,
90,속초,2022-06-19,23.9,19.8,512,29.4,1507,,1.7,74.8,14.8,12,,,
90,속초,2022-06-20,24.5,20.9,2354,28.9,1055,,1.3,73,14.8,13.2,,,
90,속초,2022-06-21,22.2,20,151,26.3,1445,,1.5,88.4,14.8,7.9,,,
90,속초,2022-06-22,22.3,19.7,214,25.2,1752,,1.7,91.9,14.8,4.5,,,
90,속초,2022-06-23,21.3,20.1,617,22.9,1141,54.8,1.2,96.5,14.8,0,,,
90,속초,2022-06-24,26.2,20.2,250,32.7,1305,11.7,2.1,66.6,14.8,11,,,
90,속초,2022-06-25,29.8,23.9,432,34.6,1654,,2.4,45.9,14.8,12.2,,,
90,속초,2022-06-26,26.4,19.8,1013,32.3,1625,19.9,2,72.3,14.8,2.4,,,
90,속초,2022-06-27,24.4,21.6,1841,28.5,220,19.9,1.2,87.1,14.8,.3,,,
90,속초,2022-06-28,29.4,24.2,4,31.4,1231,.4,2.9,61.4,14.8,0,,,
90,속초,2022-06-29,27.1,22.8,2254,32.5,1059,.6,2,74.5,14.8,1.3,,,
90,속초,2022-06-30,22.1,21.1,1344,23.8,627,34.3,1.3,95.6,14.8,0,,,
90,속초,2022-07-01,24.1,20.7,531,30.7,1652,,1.5,85.8,14.8,11.9,,,
90,속초,2022-07-02,25.1,20.7,347,31.2,1353,,1.7,83.4,14.8,13.3,,,
90,속초,2022-07-03,26.7,22,237,31.6,1249,,1.2,78.4,14.8,12.8,,,
