연도,key,산업용,산업용여름,주택용,주택용여름,일반용,일반용여름,제조업,제조업여름
2020,경상북도 상주시,153.0,39.1,131.1,31.7,165.3,40.2,125.2,31.9
2020,경상북도 성주군,724.4,157.5,50.4,12.3,90.1,21.6,709.3,153.8
2020,경상북도 안동시,271.7,69.1,233.2,57.1,361.0,87.9,173.7,43.7
2020,경상북도 영덕군,49.8,12.4,48.7,11.8,120.6,30.0,33.2,8.3
2020,경상북도 영양군,11.7,2.9,23.1,5.5,28.8,6.4,3.4,0.7
2020,경상북도 영주시,1029.2,247.0,145.9,35.8,200.1,47.9,1005.4,241.3
2020,경상북도 영천시,911.0,205.4,135.1,33.1,191.9,46.9,878.9,197.2
2020,경상북도 예천군,48.8,12.1,86.9,22.1,96.1,23.3,33.8,8.4
2020,경상북도 울릉군,6.8,1.7,9.6,2.4,36.1,9.1,1.8,0.4
2020,경상북도 울진군,371.8,104.8,79.1,18.9,144.6,34.8,21.3,4.9
2020,경상북도 의성군,77.0,17.3,67.3,16.0,82.0,19.0,61.8,13.5
2020,경상북도 청도군,87.7,20.0,54.7,13.1,87.7,20.9,74.8,16.8
2020,경상북도 청송군,19.0,4.5,33.7,8.0,59.5,13.6,8.2,1.8
2020,경상북도 칠곡군,1264.0,278.4,161.2,40.9,294.5,75.6,1167.7,254.5
2020,경상북도 포항시,6466.9,1470.2,752.8,194.1,998.0,260.5,6320.8,1433.9
2020,광주광역시 광산구,1865.3,473.3,612.6,155.1,747.4,196.8,1766.9,448.3
